id,text,dimension,indicator,perspective_type,setting
19,The tool translated my medical jargon into simple terms for my elderly parents to understand the care plan.,Advantages of implementing AI in health care,Improve quality of patient care and shared decision-making,Patient,Hospital discharge planning
20,Predictive analytics for readmission risk allow us to arrange better support for vulnerable patients.,Advantages of implementing AI in health care,Improve quality of patient care and shared decision-making,Hospital case manager,Inpatient ward
21,I trust the diagnosis more because the AI corroborated what the specialist was seeing.,Advantages of implementing AI in health care,Improve quality of patient care and shared decision-making,Patient,Dermatology skin check
22,"Voice-to-note AI captures my clinical reasoning, so I can spend more face-to-face time explaining things to patients.",Advantages of implementing AI in health care,Improve quality of patient care and shared decision-making,Clinician,Outpatient mental health
23,The platform lets me adjust parameters and immediately see how it affects my projected recovery timeline.,Advantages of implementing AI in health care,Improve quality of patient care and shared decision-making,Patient,Rehabilitation therapy
24,"Screening algorithms help us identify high-risk individuals for earlier, more effective intervention.",Advantages of implementing AI in health care,Improve quality of patient care and shared decision-making,Public health nurse,Community screening program
25,"The AI consult summarized relevant research for my rare condition, which my doctor and I discussed together.",Advantages of implementing AI in health care,Improve quality of patient care and shared decision-making,Patient,Specialist referral
26,Real-time sepsis alerts have improved our team's response time and patient outcomes.,Advantages of implementing AI in health care,Improve quality of patient care and shared decision-making,Nurse manager,Intensive care unit
27,It provides a structured way to discuss palliative care options based on my specific prognosis.,Advantages of implementing AI in health care,Improve quality of patient care and shared decision-making,Patient,Hospice evaluation
28,Pre-operative risk assessment tools give patients realistic expectations about surgical outcomes.,Advantages of implementing AI in health care,Improve quality of patient care and shared decision-making,Surgeon,Surgical consult
29,"The chatbot answered my basic questions about my new medication 24/7, freeing the nurse for more complex issues.",Advantages of implementing AI in health care,Improve quality of patient care and shared decision-making,Patient,Post-discharge follow-up
30,Genomic analysis tools helped select the most promising targeted therapy for my cancer.,Advantages of implementing AI in health care,Improve quality of patient care and shared decision-making,Patient,Oncology molecular board
31,Clinical pathways embedded in the EHR standardize care but still allow for personalized adjustments.,Advantages of implementing AI in health care,Improve quality of patient care and shared decision-making,Hospital administrator,Quality improvement meeting
32,Seeing a visual prediction of my blood sugar trends helped me understand the impact of diet and exercise.,Advantages of implementing AI in health care,Improve quality of patient care and shared decision-making,Patient,Diabetes management class
33,AI triage bots ensure that urgent mental health concerns are routed to a human counselor immediately.,Advantages of implementing AI in health care,Improve quality of patient care and shared decision-making,Mental health administrator,Crisis helpline
34,"The algorithm suggested an alternative diagnosis that was correct, preventing a prolonged illness.",Advantages of implementing AI in health care,Improve quality of patient care and shared decision-making,Patient,Infectious disease clinic
35,Radiology decision support reduces false negatives in mammography reads.,Advantages of implementing AI in health care,Improve quality of patient care and shared decision-making,Breast surgeon,Multidisciplinary tumor board
36,"The shared dashboard shows my progress against my care goals, which we review with the whole team.",Advantages of implementing AI in health care,Improve quality of patient care and shared decision-making,Patient,Chronic disease management
37,Predictive staffing models ensure we have the right expertise available when complex cases arrive.,Advantages of implementing AI in health care,Improve quality of patient care and shared decision-making,ED charge nurse,Emergency department
38,It quantified my stroke risk in a way that made the need for blood pressure medication obvious to me.,Advantages of implementing AI in health care,Improve quality of patient care and shared decision-making,Patient,Neurology clinic
39,"Natural language processing extracts key social determinants from notes, prompting us to address food insecurity.",Advantages of implementing AI in health care,Improve quality of patient care and shared decision-making,Social worker,Primary care panel management
40,"The AI's explanation of my test results was more detailed than what I got in person, so I came prepared with questions.",Advantages of implementing AI in health care,Improve quality of patient care and shared decision-making,Patient,Lab results review
41,Treatment simulation models show patients the probable outcomes of choosing dialysis versus conservative management.,Advantages of implementing AI in health care,Improve quality of patient care and shared decision-making,Nephrologist,Kidney care clinic
42,"Alert fatigue is a problem, but the sepsis warning system is accurate enough that we act on it every time.",Advantages of implementing AI in health care,Improve quality of patient care and shared decision-making,Hospitalist,General medicine floor
43,"The platform facilitates secure messaging with my care team, making quick clarifications possible.",Advantages of implementing AI in health care,Improve quality of patient care and shared decision-making,Patient,Telehealth follow-up
44,AI-driven resource allocation ensures that our limited ICU beds are used for patients who will benefit most.,Advantages of implementing AI in health care,Improve quality of patient care and shared decision-making,Health system operations director,Hospital operations center
45,The risk calculator for childbirth complications helped me decide on a hospital birth over a home birth.,Advantages of implementing AI in health care,Improve quality of patient care and shared decision-making,Expectant mother,Obstetrician's office
46,Automated image measurement tools provide more consistent tumor size tracking over time.,Advantages of implementing AI in health care,Improve quality of patient care and shared decision-making,Oncologist,Tumor board conference
47,"I used an AI symptom navigator to prepare for my specialist appointment, making the consult more focused.",Advantages of implementing AI in health care,Improve quality of patient care and shared decision-making,Patient,Pre-visit preparation
48,Clinical documentation improvement software prompts for missing data that affects quality metrics and reimbursement.,Advantages of implementing AI in health care,Improve quality of patient care and shared decision-making,Medical coder,Health information department
49,Predictive models for post-op pain help us personalize analgesic plans and reduce opioid use.,Advantages of implementing AI in health care,Improve quality of patient care and shared decision-making,Anesthesiologist,Pain management service
50,The shared decision-making module for joint replacement showed me realistic functional outcomes based on my age.,Advantages of implementing AI in health care,Improve quality of patient care and shared decision-making,Patient,Orthopedic surgery consult
51,"The AI tool helped my doctor show me a clear visual of my treatment options, making our conversation about surgery much more informed.",Advantages of implementing AI in health care,Improve quality of patient care and shared decision-making,patient,oncology clinic
52,"Using the diagnostic support system, my physician could explain the reasoning behind my new diagnosis in a way I finally understood.",Advantages of implementing AI in health care,Improve quality of patient care and shared decision-making,patient,primary care clinic
53,"The treatment planning AI presented my care team with evidence-based alternatives, which we then discussed together as a group.",Advantages of implementing AI in health care,Improve quality of patient care and shared decision-making,family member,hospital care coordination meeting
54,"I now get a personalized summary from the AI after my specialist visit, which helps me remember the key points and ask better follow-up questions.",Advantages of implementing AI in health care,Improve quality of patient care and shared decision-making,patient,specialist outpatient clinic
55,"Our clinic's AI second-opinion tool gives patients and physicians a solid, data-driven comparison to discuss before a major procedure.",Advantages of implementing AI in health care,Improve quality of patient care and shared decision-making,clinician,surgical consult clinic
56,"The AI-driven health portal translates my lab results into plain language, so I can go into my appointment ready to talk about what they mean.",Advantages of implementing AI in health care,Improve quality of patient care and shared decision-making,patient,patient portal
57,"In the emergency department, the AI's rapid assessment helped the team and me quickly understand the severity and the need for admission.",Advantages of implementing AI in health care,Improve quality of patient care and shared decision-making,patient,emergency department
58,Our shared decision-making aid for chronic conditions uses AI to model how different medications might work for me specifically.,Advantages of implementing AI in health care,Improve quality of patient care and shared decision-making,patient,chronic disease management program
59,The AI presented my caregiver and me with a side-by-side comparison of home care vs. rehab facility options based on my recovery goals.,Advantages of implementing AI in health care,Improve quality of patient care and shared decision-making,caregiver,discharge planning session
60,"As a clinician, the AI's differential diagnosis list prompts me to consider possibilities I might have missed, which we then rule out together with the patient.",Advantages of implementing AI in health care,Improve quality of patient care and shared decision-making,clinician,primary care clinic
61,"The mental health chatbot helped me articulate my symptoms before my therapy session, so we could use that time more effectively for planning.",Advantages of implementing AI in health care,Improve quality of patient care and shared decision-making,patient,telehealth mental health service
62,"Our health system's AI care navigator suggests relevant questions for patients to ask their specialists, empowering them in the consultation.",Advantages of implementing AI in health care,Improve quality of patient care and shared decision-making,health administrator,patient experience office
63,"The imaging AI highlighted areas of concern on my scan, which the radiologist walked me through during the results discussion.",Advantages of implementing AI in health care,Improve quality of patient care and shared decision-making,patient,radiology department
64,"For my complex condition, the AI synthesized my entire medical history to help my specialist and me decide on the next targeted therapy.",Advantages of implementing AI in health care,Improve quality of patient care and shared decision-making,patient,tertiary care hospital
65,"The public health screening AI identified a risk factor I didn't know about, leading to a productive conversation with my doctor about prevention.",Advantages of implementing AI in health care,Improve quality of patient care and shared decision-making,community member,community health fair
66,"In our telehealth visit, the AI analyzed my home blood pressure trends so my nurse and I could adjust my medication plan together.",Advantages of implementing AI in health care,Improve quality of patient care and shared decision-making,patient,remote patient monitoring program
67,"The decision aid for prostate cancer treatment used AI to calculate my personal risk/benefit profile, making the choice less abstract.",Advantages of implementing AI in health care,Improve quality of patient care and shared decision-making,patient,urology clinic
68,My pediatrician used an AI growth predictor to show me and my child how different lifestyle choices could impact her health trajectory.,Advantages of implementing AI in health care,Improve quality of patient care and shared decision-making,parent,pediatric wellness visit
69,The AI treatment summary sent to my pharmacist helped us both verify the plan and discuss potential interactions before I filled the prescription.,Advantages of implementing AI in health care,Improve quality of patient care and shared decision-making,patient,community pharmacy
70,"As a researcher developing these tools, our focus is on creating explanations that clinicians can use to truly collaborate with patients.",Advantages of implementing AI in health care,Improve quality of patient care and shared decision-making,technology developer,health AI lab
71,"The AI-powered pre-visit questionnaire organized my symptoms into a clear format, so my doctor and I could tackle the most pressing issues first.",Advantages of implementing AI in health care,Improve quality of patient care and shared decision-making,patient,general medicine practice
72,Our health system's policy now mandates that any AI recommendation for major treatment must be presented with understandable rationale for patient discussion.,Advantages of implementing AI in health care,Improve quality of patient care and shared decision-making,policymaker,health system governance board
73,I'm worried my health data from the hospital AI could be hacked and sold to insurance companies.,Challenges of implementing AI in health care,"Challenges with security, bias, and access",patient,hospital
74,The diagnostic tool seems to work poorly for patients with darker skin tones; it's clearly not trained on diverse data.,Challenges of implementing AI in health care,"Challenges with security, bias, and access",clinician,clinic
75,"Our rural clinic can't afford the new AI scheduling system that big city hospitals use, so we're left behind.",Challenges of implementing AI in health care,"Challenges with security, bias, and access",health administrator,rural health clinic
76,I don't trust the AI triage bot; what if it misjudges my symptoms because of my age or gender?,Challenges of implementing AI in health care,"Challenges with security, bias, and access",patient,emergency department
77,"Algorithmic bias in the risk-prediction model unfairly flags Black patients as high-risk more often, leading to worse care.",Challenges of implementing AI in health care,"Challenges with security, bias, and access",researcher,public health program
78,The AI health app asks for too much personal data. Where does it all go and who can see it?,Challenges of implementing AI in health care,"Challenges with security, bias, and access",community member,telehealth
79,"My elderly mother can't use the patient portal AI chatbot because it's too complicated, so she misses reminders.",Challenges of implementing AI in health care,"Challenges with security, bias, and access",family member,patient portal
80,We're deploying AI tools in wealthy neighborhoods first; it's a digital divide in healthcare.,Challenges of implementing AI in health care,"Challenges with security, bias, and access",public health worker,community health setting
81,"The AI treatment planner suggests cheaper options for Medicaid patients, assuming they won't comply with expensive ones.",Challenges of implementing AI in health care,"Challenges with security, bias, and access",clinician,treatment planning
82,I'm concerned about data privacy with the pharmacy's AI refill system—my medication history feels exposed.,Challenges of implementing AI in health care,"Challenges with security, bias, and access",patient,pharmacy
83,"The AI model was trained on data from young tech-savvy users, so it gives bad advice for older or low-income people.",Challenges of implementing AI in health care,"Challenges with security, bias, and access",technology developer,health data system
84,Non-English speakers get poorer AI-driven care because the systems don't understand their language or context.,Challenges of implementing AI in health care,"Challenges with security, bias, and access",caregiver,clinic
85,Our health system's AI security is weak; a breach could leak everyone's mental health records.,Challenges of implementing AI in health care,"Challenges with security, bias, and access",health administrator,hospital
86,"The algorithm penalizes patients in low-income zip codes because it uses historical billing data, not clinical need.",Challenges of implementing AI in health care,"Challenges with security, bias, and access",researcher,diagnostic support
87,I avoid the AI symptom checker because I'm afraid it will store my sensitive info and share it with my employer.,Challenges of implementing AI in health care,"Challenges with security, bias, and access",patient,telehealth
88,The AI health coach app is only in English; my Spanish-speaking community can't access it properly.,Challenges of implementing AI in health care,"Challenges with security, bias, and access",community member,public health program
89,"Bias in the radiology AI means it misses more tumors in minority patients, which is dangerous.",Challenges of implementing AI in health care,"Challenges with security, bias, and access",clinician,diagnostic support
90,"Smaller hospitals are priced out of the latest AI tools, creating a two-tier system of care.",Challenges of implementing AI in health care,"Challenges with security, bias, and access",policymaker,health system
91,The AI mental health chatbot records conversations; I'm not sure who has access to my deepest thoughts.,Challenges of implementing AI in health care,"Challenges with security, bias, and access",patient,mental health clinic
92,"Algorithmic bias in the kidney function estimator overestimates disease severity in Black patients, affecting referrals.",Challenges of implementing AI in health care,"Challenges with security, bias, and access",researcher,treatment planning
93,"I can't afford the subscription fee for the AI chronic disease management app, so I'm left without support.",Challenges of implementing AI in health care,"Challenges with security, bias, and access",patient,patient portal
94,"The hospital's AI security audit found vulnerabilities, but they haven't been fixed due to budget cuts.",Challenges of implementing AI in health care,"Challenges with security, bias, and access",public health worker,hospital
95,The AI tool for predicting readmissions was built on data from a single urban center and fails in rural areas.,Challenges of implementing AI in health care,"Challenges with security, bias, and access",clinician,appointment scheduling
96,My health data from the AI wearables is shared with third-party advertisers without clear consent.,Challenges of implementing AI in health care,"Challenges with security, bias, and access",community member,pharmacy
97,Patients without smartphones are excluded from the new AI-based home monitoring program.,Challenges of implementing AI in health care,"Challenges with security, bias, and access",caregiver,community health setting
98,"The AI triage system consistently downgrades pain reports from women, leading to undertreatment.",Challenges of implementing AI in health care,"Challenges with security, bias, and access",researcher,emergency department
99,We have no control over the AI vendor's data practices; our patients' information could be monetized.,Challenges of implementing AI in health care,"Challenges with security, bias, and access",health administrator,clinic
100,"The AI genetic counselor app assumes users are of European ancestry, giving irrelevant risk assessments to others.",Challenges of implementing AI in health care,"Challenges with security, bias, and access",patient,telehealth
101,"Bias in the sepsis alert algorithm means minority patients get alerts later, delaying critical care.",Challenges of implementing AI in health care,"Challenges with security, bias, and access",clinician,hospital
102,"The AI hiring tool for health workers discriminates against older applicants, limiting workforce diversity.",Challenges of implementing AI in health care,"Challenges with security, bias, and access",policymaker,health system
103,I'm afraid to use the AI diet planner because it might share my weight and health goals with data brokers.,Challenges of implementing AI in health care,"Challenges with security, bias, and access",family member,patient portal
104,"Access to the AI-powered specialist matching service is only for those with good insurance, not Medicaid patients.",Challenges of implementing AI in health care,"Challenges with security, bias, and access",public health worker,treatment planning
105,The AI model for allocating ventilators during crises was trained on data that undervalued lives with disabilities.,Challenges of implementing AI in health care,"Challenges with security, bias, and access",researcher,public health program
106,"Our clinic's AI translation tool makes dangerous errors with medical terms, putting non-English speakers at risk.",Challenges of implementing AI in health care,"Challenges with security, bias, and access",clinician,clinic
107,Data from the AI mental health screener is stored indefinitely; I worry about future discrimination.,Challenges of implementing AI in health care,"Challenges with security, bias, and access",patient,mental health clinic
108,The AI drug interaction checker was trained on data from young adults and misses risks for elderly patients.,Challenges of implementing AI in health care,"Challenges with security, bias, and access",pharmacist,pharmacy
109,Public health AI programs are rolled out in cities first; rural communities are an afterthought.,Challenges of implementing AI in health care,"Challenges with security, bias, and access",community member,community health setting
110,"Algorithmic bias in the prenatal risk score labels more Black pregnancies as high-risk, causing unnecessary stress.",Challenges of implementing AI in health care,"Challenges with security, bias, and access",researcher,diagnostic support
111,The hospital's AI security team is understaffed; it's only a matter of time before a major breach.,Challenges of implementing AI in health care,"Challenges with security, bias, and access",health administrator,hospital
112,I can't use the AI appointment scheduler because I'm hearing-impaired and it has no video relay option.,Challenges of implementing AI in health care,"Challenges with security, bias, and access",patient,appointment scheduling
113,"The AI health equity dashboard shows we're failing low-income patients, but leadership ignores the data.",Challenges of implementing AI in health care,"Challenges with security, bias, and access",public health worker,health data system
114,The AI diagnostic tool for skin cancer performs poorly on darker skin because the training images were mostly light-skinned.,Challenges of implementing AI in health care,"Challenges with security, bias, and access",clinician,clinic
115,My sensitive health info from the AI chronic care program might be shared with my landlord or family without permission.,Challenges of implementing AI in health care,"Challenges with security, bias, and access",patient,telehealth
116,Only tech-literate patients benefit from the new AI health navigator; others are confused and frustrated.,Challenges of implementing AI in health care,"Challenges with security, bias, and access",caregiver,patient portal
117,"Bias in the AI hiring screen filters out resumes with gaps, penalizing women and caregivers.",Challenges of implementing AI in health care,"Challenges with security, bias, and access",policymaker,health system
118,"The AI health risk predictor uses zip code as a proxy for race, reinforcing segregation in care.",Challenges of implementing AI in health care,"Challenges with security, bias, and access",researcher,public health program
119,Our small practice can't secure the AI data pipeline properly; we're a target for cyberattacks.,Challenges of implementing AI in health care,"Challenges with security, bias, and access",health administrator,rural health clinic
120,The AI mental health first-aid bot gives generic advice that doesn't consider cultural differences in expressing distress.,Challenges of implementing AI in health care,"Challenges with security, bias, and access",community member,mental health clinic
121,Patients in the AI diabetes management pilot were mostly white and affluent; will it work for others?,Challenges of implementing AI in health care,"Challenges with security, bias, and access",clinician,treatment planning
122,I avoid the hospital's AI kiosk because it scans my face; that biometric data could be misused later.,Challenges of implementing AI in health care,"Challenges with security, bias, and access",patient,hospital
123,I worry that my sensitive health data from the patient portal isn't fully secure from breaches.,Challenges of implementing AI in health care,"Challenges with security, bias, and access",patient,patient portal
124,"The AI diagnostic tool seems to miss conditions in patients with darker skin tones, which is terrifying.",Challenges of implementing AI in health care,"Challenges with security, bias, and access",clinician,diagnostic support
125,"Our rural clinic can't afford the latest AI health monitoring systems, so our patients are left behind.",Challenges of implementing AI in health care,"Challenges with security, bias, and access",health administrator,community health setting
126,"The algorithm for scheduling follow-ups seems to prioritize patients with smartphones, ignoring others.",Challenges of implementing AI in health care,"Challenges with security, bias, and access",clinic receptionist,appointment scheduling
127,I don't trust that my genetic data used in AI research is truly anonymized and safe.,Challenges of implementing AI in health care,"Challenges with security, bias, and access",patient,research study enrollment
128,"The health system's AI triage bot keeps misclassifying non-English speakers, leading to delays.",Challenges of implementing AI in health care,"Challenges with security, bias, and access",emergency department nurse,emergency department
129,"We need to audit these algorithms for bias, but the hospital won't release the code for review.",Challenges of implementing AI in health care,"Challenges with security, bias, and access",public health researcher,health data system
130,My elderly father can't use the AI-powered medication manager because it requires a smartphone he doesn't have.,Challenges of implementing AI in health care,"Challenges with security, bias, and access",family member,pharmacy
131,"The predictive model for readmissions unfairly flags low-income patients as higher risk, affecting their care.",Challenges of implementing AI in health care,"Challenges with security, bias, and access",social worker,hospital discharge planning
132,I'm concerned about who has access to my mental health chat logs from the AI therapy bot.,Challenges of implementing AI in health care,"Challenges with security, bias, and access",patient,telehealth
133,"The AI skin cancer detector was trained mostly on light-skinned individuals, so it's less accurate for me.",Challenges of implementing AI in health care,"Challenges with security, bias, and access",patient,dermatology clinic
134,"Our public health program's AI for outbreak prediction uses data only from urban areas, missing rural spikes.",Challenges of implementing AI in health care,"Challenges with security, bias, and access",public health worker,public health program
135,"The voice recognition system in the exam room struggles with accents, leading to incorrect notes.",Challenges of implementing AI in health care,"Challenges with security, bias, and access",clinician,hospital
136,"Low-income neighborhoods have worse broadband, so they can't benefit equally from remote AI monitoring.",Challenges of implementing AI in health care,"Challenges with security, bias, and access",community advocate,community health setting
137,The algorithm recommending treatment options seems to downplay pain reports from women.,Challenges of implementing AI in health care,"Challenges with security, bias, and access",nurse practitioner,treatment planning
138,I'm uneasy about the hospital's cloud-based AI storing my records; what if there's a hack?,Challenges of implementing AI in health care,"Challenges with security, bias, and access",patient,inpatient unit
139,"The AI health coach app is free, but the premium features with better advice cost too much for many.",Challenges of implementing AI in health care,"Challenges with security, bias, and access",health technology developer,mobile health application
140,"Our system's AI for allocating resources seems to favor larger hospitals, starving smaller ones.",Challenges of implementing AI in health care,"Challenges with security, bias, and access",health system administrator,health network management
141,The AI-powered symptom checker keeps giving me irrelevant advice because it wasn't trained on my age group.,Challenges of implementing AI in health care,"Challenges with security, bias, and access",older adult patient,patient portal
142,"We lack the IT infrastructure to securely integrate AI tools, creating vulnerabilities.",Challenges of implementing AI in health care,"Challenges with security, bias, and access",IT specialist,clinic
143,The algorithm for determining need for surgery appears biased against patients with disabilities.,Challenges of implementing AI in health care,"Challenges with security, bias, and access",patient advocate,surgical consult
144,"Data from our community health center isn't included in the AI models, so our population's needs are ignored.",Challenges of implementing AI in health care,"Challenges with security, bias, and access",community health worker,federally qualified health center
145,"I heard the hospital uses a computer to read my scans, but I'm scared it might miss something a real doctor would see.",Challenges of implementing AI in health care,Public misunderstanding of AI,patient,diagnostic support
146,"If an AI suggests a treatment, does that mean my doctor just follows its orders without thinking?",Challenges of implementing AI in health care,Public misunderstanding of AI,patient,treatment planning
147,"They say the AI scheduler is efficient, but it keeps booking my appointments at weird times I never chose.",Challenges of implementing AI in health care,Public misunderstanding of AI,patient,appointment scheduling
148,My mom's medication is managed by an algorithm? That sounds too cold and impersonal for something so important.,Challenges of implementing AI in health care,Public misunderstanding of AI,family member,pharmacy
149,I don't understand how a machine can learn about my health history; it's not like it can read my chart like a person.,Challenges of implementing AI in health care,Public misunderstanding of AI,patient,patient portal
150,The nurse mentioned an AI alert for sepsis. Does that mean the computer is watching us all the time?,Challenges of implementing AI in health care,Public misunderstanding of AI,patient,hospital
151,"People think AI will make healthcare perfectly fair, but I worry it will just automate existing biases from old records.",Challenges of implementing AI in health care,Public misunderstanding of AI,community member,public health program
152,My doctor used an AI tool for my diagnosis. I'm unsure if that means my case is too complicated for regular medicine.,Challenges of implementing AI in health care,Public misunderstanding of AI,patient,clinic
153,"This AI triage system in the ER seems smart, but how does it know which pain is worse than another?",Challenges of implementing AI in health care,Public misunderstanding of AI,patient,emergency department
154,"They say the AI helps with shared decision-making, but it felt like the computer was making the decision for us.",Challenges of implementing AI in health care,Public misunderstanding of AI,patient,treatment planning
155,I'm confused—is the chatbot my first doctor now? It asked questions but didn't seem to understand my answers properly.,Challenges of implementing AI in health care,Public misunderstanding of AI,patient,telehealth
156,The idea of AI analyzing my mental health feels invasive. How can a program understand human emotions?,Challenges of implementing AI in health care,Public misunderstanding of AI,patient,mental health clinic
157,My hospital uses AI for bed management. Does that mean they care more about numbers than patient comfort?,Challenges of implementing AI in health care,Public misunderstanding of AI,patient,hospital
158,"If an AI detects a disease early, does that guarantee a cure? People might think it's a magic bullet.",Challenges of implementing AI in health care,Public misunderstanding of AI,public health worker,screening program
159,"The advertisement said AI would revolutionize care, but my experience felt more like talking to a robot.",Challenges of implementing AI in health care,Public misunderstanding of AI,patient,clinic
160,I'm not sure I trust an AI to recommend my exercise plan. What if it suggests something dangerous for my condition?,Challenges of implementing AI in health care,Public misunderstanding of AI,patient,rehabilitation
161,They use AI to predict which patients might get sicker. Is that a prediction or a death sentence?,Challenges of implementing AI in health care,Public misunderstanding of AI,patient,hospital
162,"The system flagged my son's growth chart as abnormal. Should I panic, or is the AI just being overly cautious?",Challenges of implementing AI in health care,Public misunderstanding of AI,family member,pediatric clinic
163,"I don't know what data the AI uses. Does it know about my lifestyle, or just what's in my medical file?",Challenges of implementing AI in health care,Public misunderstanding of AI,patient,primary care
164,"The AI said my risk for diabetes is high. Does that mean I definitely will get it, or is it just a guess?",Challenges of implementing AI in health care,Public misunderstanding of AI,patient,wellness visit
165,My doctor showed me an AI-generated treatment comparison. How can I know if the computer's options are the best ones?,Challenges of implementing AI in health care,Public misunderstanding of AI,patient,oncology clinic
166,"They keep saying AI is an assistant, but it feels like it's taking notes and making suggestions like a junior doctor.",Challenges of implementing AI in health care,Public misunderstanding of AI,patient,consultation
167,"If the AI makes a mistake, who is responsible? The company that built it or the hospital that uses it?",Challenges of implementing AI in health care,Public misunderstanding of AI,patient,hospital
168,I worry AI will make healthcare more expensive. Will they charge extra for the computer's opinion?,Challenges of implementing AI in health care,Public misunderstanding of AI,patient,billing office
169,The AI health monitor on my phone sends alerts. Are these real warnings or just false alarms wasting my time?,Challenges of implementing AI in health care,Public misunderstanding of AI,patient,home health
170,I don't understand why they need AI for simple things like refilling prescriptions. Isn't that just bureaucracy?,Challenges of implementing AI in health care,Public misunderstanding of AI,patient,pharmacy
171,The AI recommended a specialist. Is that because the computer has a deal with that doctor's office?,Challenges of implementing AI in health care,Public misunderstanding of AI,patient,referral system
172,"People think AI will eliminate wait times, but if the computer messes up, won't that cause bigger delays?",Challenges of implementing AI in health care,Public misunderstanding of AI,community member,community health setting
173,My grandmother doesn't trust the AI reminder system. She thinks it's a trick to get her personal information.,Challenges of implementing AI in health care,Public misunderstanding of AI,caregiver,home care
174,The AI said my symptoms are likely anxiety. But what if it's missing a physical problem because it's just a program?,Challenges of implementing AI in health care,Public misunderstanding of AI,patient,primary care
175,How can an AI understand cultural differences in pain? It might misjudge someone from a different background.,Challenges of implementing AI in health care,Public misunderstanding of AI,community health worker,community clinic
176,"The AI tool for my surgery plan showed a 3D model. Is that what my doctor is really seeing, or is it simplified?",Challenges of implementing AI in health care,Public misunderstanding of AI,patient,pre-op
177,I'm worried the AI will label me as 'non-compliant' if I don't follow its digital instructions perfectly.,Challenges of implementing AI in health care,Public misunderstanding of AI,patient,chronic disease management
178,The AI said I'm a good candidate for a clinical trial. Does that mean I'm a guinea pig for the technology?,Challenges of implementing AI in health care,Public misunderstanding of AI,patient,research clinic
179,I don't know if the AI reading my X-ray has seen enough cases like mine. What if it's just a generic tool?,Challenges of implementing AI in health care,Public misunderstanding of AI,patient,radiology department
180,The health coach app uses AI to set goals. But it keeps suggesting things I already told it I can't do.,Challenges of implementing AI in health care,Public misunderstanding of AI,patient,wellness program
181,"If AI predicts I'll have a heart attack, does that change my insurance? People might be afraid to get tested.",Challenges of implementing AI in health care,Public misunderstanding of AI,patient,cardiology clinic
182,The AI assistant in the patient portal is frustrating. It doesn't get my questions and just gives generic links.,Challenges of implementing AI in health care,Public misunderstanding of AI,patient,patient portal
