id,text,dimension,indicator,perspective_type,setting
317,The pharmacy should have a demo kiosk for the drug-interaction AI so customers can see it in action before they fill a new prescription.,Recommendations on public involvement in AI in health care,"Experience, empowerment, and raising awareness",pharmacist,retail pharmacy
304,"When the AI recommended a lifestyle change, my doctor asked me what I thought about the suggestion—it felt like a partnership, not a algorithm order.",Recommendations on public involvement in AI in health care,"Experience, empowerment, and raising awareness",patient,treatment planning
323,"Empowerment is giving patients a simple opt-out choice for AI-driven reminders, with a clear explanation of what they’d miss.",Recommendations on public involvement in AI in health care,"Experience, empowerment, and raising awareness",ethics board member,data governance
357,"In our town hall, residents asked for a plain-English guide to the hospital's new AI diagnostic pilot before rollout.",Recommendations on public involvement in AI in health care,"Experience, empowerment, and raising awareness",town council member,public forum
346,"The pharmacy's AI refill reminder is great, but older adults need hands-on help to set it up and see how it works.",Recommendations on public involvement in AI in health care,"Experience, empowerment, and raising awareness",caregiver,pharmacy
343,"Before using the AI mental health chatbot, I wanted a clear video explaining its limits so I wouldn't rely on it for a crisis.",Recommendations on public involvement in AI in health care,"Experience, empowerment, and raising awareness",patient,mental health telehealth
326,Raising awareness starts with clinicians admitting when they use AI—not hiding it—so patients know it’s part of the process.,Recommendations on public involvement in AI in health care,"Experience, empowerment, and raising awareness",medical educator,teaching hospital
329,"My son set up the AI that monitors my blood pressure; he showed me the alerts, and now I feel in charge of my own data.",Recommendations on public involvement in AI in health care,"Experience, empowerment, and raising awareness",older adult,remote patient monitoring
313,"We propose 'AI Open Labs' in libraries where people can test health-data tools with a tech tutor, no appointment needed.",Recommendations on public involvement in AI in health care,"Experience, empowerment, and raising awareness",library program director,community resource center
320,We need 'AI question prompts' on after-visit summaries: 'Ask your doctor about the AI that supported your diagnosis today.',Recommendations on public involvement in AI in health care,"Experience, empowerment, and raising awareness",patient safety officer,quality improvement
288,I think the hospital should offer a hands-on workshop where patients can try the AI symptom-checker with a staff member guiding them.,Recommendations on public involvement in AI in health care,"Experience, empowerment, and raising awareness",patient,hospital
334,Let’s create a 'Patient AI Guide'—a short manual co-written by patients and doctors on how to engage with diagnostic tools.,Recommendations on public involvement in AI in health care,"Experience, empowerment, and raising awareness",patient advisory council,health system committee
305,Let’s train front-desk staff to give a one-minute 'Did you know?' about the AI that helps schedule follow-ups based on your condition.,Recommendations on public involvement in AI in health care,"Experience, empowerment, and raising awareness",clinic manager,appointment scheduling
312,"At my last visit, the nurse let me toggle the AI’s view of my chart on the screen—seeing the same data the system used built trust.",Recommendations on public involvement in AI in health care,"Experience, empowerment, and raising awareness",patient,nurse-led clinic
296,We need a mandatory 'AI literacy' module in the patient portal that lets you explore a mock treatment-recommendation tool safely.,Recommendations on public involvement in AI in health care,"Experience, empowerment, and raising awareness",health administrator,patient portal
344,We need public awareness campaigns showing real examples of AI in the ER to reduce fear and help people know what to expect.,Recommendations on public involvement in AI in health care,"Experience, empowerment, and raising awareness",public health worker,emergency department
325,I asked the AI nutrition advisor why it suggested less salt; the app gave a one-sentence reason—I want that kind of transparency always.,Recommendations on public involvement in AI in health care,"Experience, empowerment, and raising awareness",patient,mobile health app
349,"During my prenatal visits, the AI ultrasound analysis was mentioned but not shown; a quick screen share would have empowered me.",Recommendations on public involvement in AI in health care,"Experience, empowerment, and raising awareness",expectant parent,maternity ward
352,Public libraries should offer sessions on navigating AI-driven health information to combat misinformation online.,Recommendations on public involvement in AI in health care,"Experience, empowerment, and raising awareness",librarian,public library
322,"When the AI flagged a rare condition, the specialist took time to show me the data patterns—that experience made me a believer in assistive tech.",Recommendations on public involvement in AI in health care,"Experience, empowerment, and raising awareness",patient,specialist clinic
295,"My doctor took five minutes to show me the AI risk score on my screen and what each part meant—I left feeling informed, not intimidated.",Recommendations on public involvement in AI in health care,"Experience, empowerment, and raising awareness",patient,primary care clinic
35,Radiology decision support reduces false negatives in mammography reads.,Advantages of implementing AI in health care,Improve quality of patient care and shared decision-making,Breast surgeon,Multidisciplinary tumor board
27,It provides a structured way to discuss palliative care options based on my specific prognosis.,Advantages of implementing AI in health care,Improve quality of patient care and shared decision-making,Patient,Hospice evaluation
52,"Using the diagnostic support system, my physician could explain the reasoning behind my new diagnosis in a way I finally understood.",Advantages of implementing AI in health care,Improve quality of patient care and shared decision-making,patient,primary care clinic
34,"The algorithm suggested an alternative diagnosis that was correct, preventing a prolonged illness.",Advantages of implementing AI in health care,Improve quality of patient care and shared decision-making,Patient,Infectious disease clinic
64,"For my complex condition, the AI synthesized my entire medical history to help my specialist and me decide on the next targeted therapy.",Advantages of implementing AI in health care,Improve quality of patient care and shared decision-making,patient,tertiary care hospital
42,"Alert fatigue is a problem, but the sepsis warning system is accurate enough that we act on it every time.",Advantages of implementing AI in health care,Improve quality of patient care and shared decision-making,Hospitalist,General medicine floor
21,I trust the diagnosis more because the AI corroborated what the specialist was seeing.,Advantages of implementing AI in health care,Improve quality of patient care and shared decision-making,Patient,Dermatology skin check
28,Pre-operative risk assessment tools give patients realistic expectations about surgical outcomes.,Advantages of implementing AI in health care,Improve quality of patient care and shared decision-making,Surgeon,Surgical consult
40,"The AI's explanation of my test results was more detailed than what I got in person, so I came prepared with questions.",Advantages of implementing AI in health care,Improve quality of patient care and shared decision-making,Patient,Lab results review
57,"In the emergency department, the AI's rapid assessment helped the team and me quickly understand the severity and the need for admission.",Advantages of implementing AI in health care,Improve quality of patient care and shared decision-making,patient,emergency department
439,"The chatbot for medication queries is efficient, but when I was scared about side effects, I needed a human voice, not a script.",Challenges of implementing AI in health care,Lack of human touch in care and decision-making,patient,pharmacy support portal
440,My surgeon relied heavily on the pre-op AI model and seemed less engaged in discussing my specific worries about the procedure.,Challenges of implementing AI in health care,Lack of human touch in care and decision-making,patient,pre-surgical appointment
430,"When the doctor spent more time looking at the computer screen than at me, I felt like my case was just data points, not a person.",Challenges of implementing AI in health care,Lack of human touch in care and decision-making,patient,primary care clinic
494,"My granddaughter's pediatrician uses an AI growth chart tracker. It's precise, but she doesn't ask about the tantrums or the sleepless nights—the things that really matter.",Challenges of implementing AI in health care,Lack of human touch in care and decision-making,family member,pediatric office
457,"My AI nutrition plan is precise, but it doesn't know I cook with my grandchildren and need flexible, joyful options, not just macros.",Challenges of implementing AI in health care,Lack of human touch in care and decision-making,patient,dietitian consultation
467,"My AI fitness coach gives great workouts, but it doesn't celebrate with me or commiserate when I'm too tired. It's lonely.",Challenges of implementing AI in health care,Lack of human touch in care and decision-making,patient,rehabilitation program
446,My daughter's pediatrician seemed distracted by pop-up alerts from the AI. I missed her usual warmth and attentiveness.,Challenges of implementing AI in health care,Lack of human touch in care and decision-making,family member,pediatric well-child visit
455,"We're training residents to interpret AI outputs, but I'm concerned they'll lose the skill of simply listening to a patient's story.",Challenges of implementing AI in health care,Lack of human touch in care and decision-making,medical educator,teaching hospital
454,"The algorithm recommended a cheaper drug, but my doctor, who knows my history, fought for the one that works for me. That human advocacy matters.",Challenges of implementing AI in health care,Lack of human touch in care and decision-making,patient,primary care prescription renewal
485,"We've automated patient intake, and now the waiting room is silent. People used to comfort each other; now they just stare at tablets.",Challenges of implementing AI in health care,Lack of human touch in care and decision-making,community health worker,community health center
475,"The voice assistant in the room answers questions, but it can't hold my hand when I'm getting bad news from the doctor.",Challenges of implementing AI in health care,Lack of human touch in care and decision-making,patient,inpatient room
464,"The robot dispensed my meds correctly, but the pharmacist used to ask about my husband. Now it's just a transaction.",Challenges of implementing AI in health care,Lack of human touch in care and decision-making,patient,hospital pharmacy
466,"The predictive model says this neighborhood has poor health outcomes, but it doesn't capture the strength of the community ties we rely on.",Challenges of implementing AI in health care,Lack of human touch in care and decision-making,community health worker,public health outreach
435,"The algorithm suggested a treatment plan, but my doctor just read it to me. Where was the discussion? The 'we' in decision-making?",Challenges of implementing AI in health care,Lack of human touch in care and decision-making,patient,treatment planning consultation
458,"The system predicts readmission risk, but it doesn't predict that Mrs. Jones is scared to go home alone. That's the human part we still need.",Challenges of implementing AI in health care,Lack of human touch in care and decision-making,hospital discharge planner,inpatient unit
484,"During my telehealth visit for depression, the chatbot asked the right questions but had zero capacity for the silent empathy I needed.",Challenges of implementing AI in health care,Lack of human touch in care and decision-making,patient,telehealth mental health service
492,"The AI flagged my lab results as 'normal,' but my doctor looked at me, saw I was still tired, and ordered more tests. That human observation matters.",Challenges of implementing AI in health care,Lack of human touch in care and decision-making,patient,internal medicine practice
481,"My mother's dementia care now involves more screen time with monitoring tools than human interaction, and it's heartbreaking.",Challenges of implementing AI in health care,Lack of human touch in care and decision-making,family member,nursing home
462,"The AI note-taker is accurate, but my doctor's narrative—the 'story' of my illness—is what helped me understand and accept my diagnosis.",Challenges of implementing AI in health care,Lack of human touch in care and decision-making,patient,specialist consultation
433,"I told the symptom checker about my chest pain and it gave me a list of conditions, but it didn't ask about my fear or hold my hand.",Challenges of implementing AI in health care,Lack of human touch in care and decision-making,patient,emergency department triage kiosk
472,The system flags 'difficult' patients. That label from a machine can bias the entire care team against someone who is just scared.,Challenges of implementing AI in health care,Lack of human touch in care and decision-making,patient advocate,hospital patient relations
495,"In behavioral health, an algorithm can't detect the subtle shift in tone that signals a patient is about to disclose something suicidal. We need human ears.",Challenges of implementing AI in health care,Lack of human touch in care and decision-making,clinical psychologist,mental health clinic
448,"The patient portal's AI chatbot answers questions, but it can't sense my frustration or confusion through the text.",Challenges of implementing AI in health care,Lack of human touch in care and decision-making,patient,online patient portal
443,"The automated appointment reminders are helpful, but they replace the receptionist's friendly 'How are you feeling today?'",Challenges of implementing AI in health care,Lack of human touch in care and decision-making,patient,clinic check-in
447,"We have algorithms for everything, but no algorithm can replace the clinician's gut feeling honed by years of talking to patients.",Challenges of implementing AI in health care,Lack of human touch in care and decision-making,clinician,diagnostic support meeting
452,"I used to chat with the lab tech about my kids. Now it's a scan, a drop, and no human interaction. It feels sterile and lonely.",Challenges of implementing AI in health care,Lack of human touch in care and decision-making,patient,phlebotomy station
489,"The prenatal AI tool crunches all the numbers perfectly, but it can't hold a mother's hand when the news is worrying.",Challenges of implementing AI in health care,Lack of human touch in care and decision-making,midwife,obstetrics unit
451,"The system flags 'frequent flyer' patients. That label from an algorithm makes them feel like a problem, not a person in pain.",Challenges of implementing AI in health care,Lack of human touch in care and decision-making,social worker,hospital admissions office
441,"The system prioritizes efficiency metrics over the quiet, unscripted moments where trust is built.",Challenges of implementing AI in health care,Lack of human touch in care and decision-making,clinician,hospital ward rounds
479,"The AI scheduling bot optimized the clinic's calendar, but it cancelled my appointment with my favorite doctor four times. No empathy.",Challenges of implementing AI in health care,Lack of human touch in care and decision-making,patient,specialist office scheduling
442,"I'm a developer, and I worry our tools for patient risk assessment might make clinicians see red flags instead of seeing the person.",Challenges of implementing AI in health care,Lack of human touch in care and decision-making,technology developer,health data analytics team
480,"When the AI system suggested my treatment plan, it felt like it didn't consider my personal fears or life circumstances at all.",Challenges of implementing AI in health care,Lack of human touch in care and decision-making,patient,oncology clinic
497,"Policymakers talk about AI equity, but if we replace community health workers with bots, we lose the trusted messengers who understand cultural nuances and build real trust.",Challenges of implementing AI in health care,Lack of human touch in care and decision-making,policymaker,legislative health committee hearing
496,"The patient portal's AI health assistant answers questions, but when I'm scared about a new symptom, I need to *feel* that someone cares, not just get information.",Challenges of implementing AI in health care,Lack of human touch in care and decision-making,patient,patient portal use
476,"The AI identified my risk for diabetes, but it was the community health worker who sat with me and my family to make lifestyle changes possible.",Challenges of implementing AI in health care,Lack of human touch in care and decision-making,patient,community wellness program
461,"The algorithm said my symptoms were 'low probability' for a serious condition, but my gut and my doctor's concern said otherwise. We ignored the AI.",Challenges of implementing AI in health care,Lack of human touch in care and decision-making,patient,neurology clinic
487,"Caregivers like me provide the emotional labor machines can't, but programs that track patient vitals remotely never ask how *we're* holding up.",Challenges of implementing AI in health care,Lack of human touch in care and decision-making,caregiver,home health care
468,"The algorithm prioritized my lab results as 'routine,' but my nurse saw my pallor and ordered a test that found the real problem.",Challenges of implementing AI in health care,Lack of human touch in care and decision-making,patient,ambulatory care unit
432,"The diagnostic AI is precise, but it cannot sit with a family and deliver a difficult diagnosis with the compassion a human can.",Challenges of implementing AI in health care,Lack of human touch in care and decision-making,clinician,oncology treatment planning
438,"We use AI to flag high-risk patients, but it generates lists. It doesn't build relationships, which is what keeps people engaged in their care.",Challenges of implementing AI in health care,Lack of human touch in care and decision-making,public health worker,community health program
437,"The AI scribe captures every word, but my clinician's eye contact vanished. The human connection was the most healing part of the visit.",Challenges of implementing AI in health care,Lack of human touch in care and decision-making,patient,mental health intake
456,"The virtual health assistant asks all the right clinical questions, but it never asks 'How is your spirit today?' or 'What matters most to you?'",Challenges of implementing AI in health care,Lack of human touch in care and decision-making,palliative care volunteer,home-based palliative care
493,"We've optimized for efficiency with AI check-in kiosks, but we've lost the crucial first moment of connection where a nurse assesses a patient's anxiety.",Challenges of implementing AI in health care,Lack of human touch in care and decision-making,nurse manager,outpatient clinic
449,"The AI discharge planner generated a perfect list, but the nurse who sat with me and explained it in plain terms made all the difference.",Challenges of implementing AI in health care,Lack of human touch in care and decision-making,patient,hospital discharge
474,"The algorithm suggested palliative care based on data, but the oncologist brought it up with such kindness and timing, it felt like care, not surrender.",Challenges of implementing AI in health care,Lack of human touch in care and decision-making,family member,cancer center
459,"The AI triage bot told me to wait, but I was crying. A human would have seen that and maybe comforted me or escalated my care.",Challenges of implementing AI in health care,Lack of human touch in care and decision-making,patient,urgent care clinic
491,Public health messaging generated by AI feels sterile and fails to motivate community action the way a trusted local nurse talking person-to-person does.,Challenges of implementing AI in health care,Lack of human touch in care and decision-making,public health worker,community vaccination program
434,"We're training our staff to use the new AI tool, but the patients keep saying it makes the visit feel transactional and cold.",Challenges of implementing AI in health care,Lack of human touch in care and decision-making,health administrator,outpatient specialty clinic
471,"The AI recommended a standard post-op pathway, but my physical therapist adjusted it daily based on my grimaces and effort. That's artistry.",Challenges of implementing AI in health care,Lack of human touch in care and decision-making,patient,inpatient physical therapy
486,"The AI recommended a standard procedure for my condition, but my surgeon's gut feeling, based on years of experience, told him to do something different—and he saved my life.",Challenges of implementing AI in health care,Lack of human touch in care and decision-making,patient,surgical ward
483,"The new diagnostic software is accurate, but patients complain they leave appointments feeling like a data point rather than a person.",Challenges of implementing AI in health care,Lack of human touch in care and decision-making,health administrator,primary care clinic
450,"Our new AI screening tool in the ED is fast, but patients feel herded and unheard, like they're on an assembly line.",Challenges of implementing AI in health care,Lack of human touch in care and decision-making,emergency department nurse,triage area
465,"The AI matches patients to clinical trials efficiently, but it can't discuss the hopes and fears that come with that decision with a researcher.",Challenges of implementing AI in health care,Lack of human touch in care and decision-making,research participant,clinical research office
469,"We have AI for sepsis alerts, but the best alerts are still a nurse noticing a patient's subtle change in demeanor or skin tone.",Challenges of implementing AI in health care,Lack of human touch in care and decision-making,critical care nurse,intensive care unit
500,"We're deploying AI for chronic disease management, but patient adherence is low. People don't connect with a device; they connect with a person who checks in on them genuinely.",Challenges of implementing AI in health care,Lack of human touch in care and decision-making,health program director,chronic disease management program
460,"We have perfect data on patient flows, but we've lost the 'hello' in the hallway, the check-in that tells us someone is really struggling.",Challenges of implementing AI in health care,Lack of human touch in care and decision-making,nurse manager,medical-surgical unit
444,"During my telehealth visit, the AI stress monitor said I was calm, but my doctor, who knows me, could see I was lying.",Challenges of implementing AI in health care,Lack of human touch in care and decision-making,patient,video consultation
473,"My AI diet tracker logged everything, but the dietitian's question about my cultural foods and traditions made me feel seen.",Challenges of implementing AI in health care,Lack of human touch in care and decision-making,patient,nutrition counseling
436,"As a caregiver, I see my father's health data on a dashboard, but the system doesn't understand his smile or his quiet days.",Challenges of implementing AI in health care,Lack of human touch in care and decision-making,caregiver,elder care facility
453,"The AI suggests I 'should' feel better after this treatment, but it doesn't validate if I actually do. It's not a conversation.",Challenges of implementing AI in health care,Lack of human touch in care and decision-making,patient,oncology follow-up
490,"I'm a tech developer, and even I refuse to let my aging parents use the fully automated pharmacy kiosk. They need to talk to a human who knows their names.",Challenges of implementing AI in health care,Lack of human touch in care and decision-making,technology developer,pharmacy
470,"The mental health chatbot follows protocols, but it can't sit in silence with me when I'm too broken to type.",Challenges of implementing AI in health care,Lack of human touch in care and decision-making,patient,digital mental health platform
482,"As an ER doctor, I'm forced to follow algorithmic triage protocols that ignore the nuanced look in a patient's eyes that tells me something is terribly wrong.",Challenges of implementing AI in health care,Lack of human touch in care and decision-making,clinician,emergency department
478,"The automated survey asks about my pain level, but it doesn't see me wiping away tears because the number doesn't capture my suffering.",Challenges of implementing AI in health care,Lack of human touch in care and decision-making,patient,post-operative recovery
499,"The treatment recommendation engine was statistically sound for my cancer, but it didn't factor in my role as a single parent. My oncologist adjusted the plan because he *saw* me.",Challenges of implementing AI in health care,Lack of human touch in care and decision-making,patient,cancer treatment center
477,"The decision support tool lists options, but it doesn't say 'I've seen this before, and I think we should try X because of Y.' That trust is human.",Challenges of implementing AI in health care,Lack of human touch in care and decision-making,clinician,complex case conference
488,My research shows patient satisfaction scores dropped after implementing the AI scheduling and reminder system; people miss the friendly voice confirming an appointment.,Challenges of implementing AI in health care,Lack of human touch in care and decision-making,researcher,health system quality improvement office
445,The AI flag for 'non-adherence' just sees missed doses. It doesn't know I can't afford the medicine or that my bus was late.,Challenges of implementing AI in health care,Lack of human touch in care and decision-making,community health worker,chronic disease management
498,"I work in hospice. An AI can predict a patient's remaining time, but it can't sit with a family, hold their hand, and help them find meaning in their final days together.",Challenges of implementing AI in health care,Lack of human touch in care and decision-making,hospice nurse,hospice care facility
463,"The system identifies 'at-risk' youth for depression, but the connection with a trusted school counselor is what actually gets them help.",Challenges of implementing AI in health care,Lack of human touch in care and decision-making,school health coordinator,adolesent health screening program
431,My mother's chatbot nurse asks the same questions every day but doesn't notice when she's feeling more anxious or down.,Challenges of implementing AI in health care,Lack of human touch in care and decision-making,family member,home health monitoring
157,My hospital uses AI for bed management. Does that mean they care more about numbers than patient comfort?,Challenges of implementing AI in health care,Public misunderstanding of AI,patient,hospital
192,I worry the AI drug interaction checker misses things because it's only as good as the data they feed it.,Challenges of implementing AI in health care,Public misunderstanding of AI,patient,pharmacy
210,"I thought AI meant instant, perfect diagnoses. My doctor said it's just a tool to double-check, which is disappointing.",Challenges of implementing AI in health care,Public misunderstanding of AI,Patient seeking second opinion,Outpatient clinic
214,"They say AI reduces errors, but I'm afraid it will create new ones we can't understand because it's so complicated.",Challenges of implementing AI in health care,Public misunderstanding of AI,Hospital volunteer,Nurse station
208,"My grandson says AI will take over healthcare, but my doctor laughed. Who's right? There's so much conflicting information.",Challenges of implementing AI in health care,Public misunderstanding of AI,Elderly community member,Senior center lunch
163,"I don't know what data the AI uses. Does it know about my lifestyle, or just what's in my medical file?",Challenges of implementing AI in health care,Public misunderstanding of AI,patient,primary care
174,The AI said my symptoms are likely anxiety. But what if it's missing a physical problem because it's just a program?,Challenges of implementing AI in health care,Public misunderstanding of AI,patient,primary care
212,"The news makes it sound like AI will fix everything wrong with healthcare, but it doesn't explain how it works at all.",Challenges of implementing AI in health care,Public misunderstanding of AI,Community health worker,Mobile clinic
171,The AI recommended a specialist. Is that because the computer has a deal with that doctor's office?,Challenges of implementing AI in health care,Public misunderstanding of AI,patient,referral system
176,"The AI tool for my surgery plan showed a 3D model. Is that what my doctor is really seeing, or is it simplified?",Challenges of implementing AI in health care,Public misunderstanding of AI,patient,pre-op
