id,text,dimension,indicator,perspective_type,setting
74,The diagnostic tool seems to work poorly for patients with darker skin tones; it's clearly not trained on diverse data.,Challenges of implementing AI in health care,"Challenges with security, bias, and access",clinician,clinic
94,"The hospital's AI security audit found vulnerabilities, but they haven't been fixed due to budget cuts.",Challenges of implementing AI in health care,"Challenges with security, bias, and access",public health worker,hospital
92,"Algorithmic bias in the kidney function estimator overestimates disease severity in Black patients, affecting referrals.",Challenges of implementing AI in health care,"Challenges with security, bias, and access",researcher,treatment planning
117,"Bias in the AI hiring screen filters out resumes with gaps, penalizing women and caregivers.",Challenges of implementing AI in health care,"Challenges with security, bias, and access",policymaker,health system
141,The AI-powered symptom checker keeps giving me irrelevant advice because it wasn't trained on my age group.,Challenges of implementing AI in health care,"Challenges with security, bias, and access",older adult patient,patient portal
131,"The predictive model for readmissions unfairly flags low-income patients as higher risk, affecting their care.",Challenges of implementing AI in health care,"Challenges with security, bias, and access",social worker,hospital discharge planning
126,"The algorithm for scheduling follow-ups seems to prioritize patients with smartphones, ignoring others.",Challenges of implementing AI in health care,"Challenges with security, bias, and access",clinic receptionist,appointment scheduling
82,I'm concerned about data privacy with the pharmacy's AI refill system—my medication history feels exposed.,Challenges of implementing AI in health care,"Challenges with security, bias, and access",patient,pharmacy
84,Non-English speakers get poorer AI-driven care because the systems don't understand their language or context.,Challenges of implementing AI in health care,"Challenges with security, bias, and access",caregiver,clinic
110,"Algorithmic bias in the prenatal risk score labels more Black pregnancies as high-risk, causing unnecessary stress.",Challenges of implementing AI in health care,"Challenges with security, bias, and access",researcher,diagnostic support
76,I don't trust the AI triage bot; what if it misjudges my symptoms because of my age or gender?,Challenges of implementing AI in health care,"Challenges with security, bias, and access",patient,emergency department
73,I'm worried my health data from the hospital AI could be hacked and sold to insurance companies.,Challenges of implementing AI in health care,"Challenges with security, bias, and access",patient,hospital
143,The algorithm for determining need for surgery appears biased against patients with disabilities.,Challenges of implementing AI in health care,"Challenges with security, bias, and access",patient advocate,surgical consult
87,I avoid the AI symptom checker because I'm afraid it will store my sensitive info and share it with my employer.,Challenges of implementing AI in health care,"Challenges with security, bias, and access",patient,telehealth
107,Data from the AI mental health screener is stored indefinitely; I worry about future discrimination.,Challenges of implementing AI in health care,"Challenges with security, bias, and access",patient,mental health clinic
122,I avoid the hospital's AI kiosk because it scans my face; that biometric data could be misused later.,Challenges of implementing AI in health care,"Challenges with security, bias, and access",patient,hospital
144,"Data from our community health center isn't included in the AI models, so our population's needs are ignored.",Challenges of implementing AI in health care,"Challenges with security, bias, and access",community health worker,federally qualified health center
99,We have no control over the AI vendor's data practices; our patients' information could be monetized.,Challenges of implementing AI in health care,"Challenges with security, bias, and access",health administrator,clinic
138,I'm uneasy about the hospital's cloud-based AI storing my records; what if there's a hack?,Challenges of implementing AI in health care,"Challenges with security, bias, and access",patient,inpatient unit
97,Patients without smartphones are excluded from the new AI-based home monitoring program.,Challenges of implementing AI in health care,"Challenges with security, bias, and access",caregiver,community health setting
85,Our health system's AI security is weak; a breach could leak everyone's mental health records.,Challenges of implementing AI in health care,"Challenges with security, bias, and access",health administrator,hospital
80,We're deploying AI tools in wealthy neighborhoods first; it's a digital divide in healthcare.,Challenges of implementing AI in health care,"Challenges with security, bias, and access",public health worker,community health setting
98,"The AI triage system consistently downgrades pain reports from women, leading to undertreatment.",Challenges of implementing AI in health care,"Challenges with security, bias, and access",researcher,emergency department
128,"The health system's AI triage bot keeps misclassifying non-English speakers, leading to delays.",Challenges of implementing AI in health care,"Challenges with security, bias, and access",emergency department nurse,emergency department
75,"Our rural clinic can't afford the new AI scheduling system that big city hospitals use, so we're left behind.",Challenges of implementing AI in health care,"Challenges with security, bias, and access",health administrator,rural health clinic
120,The AI mental health first-aid bot gives generic advice that doesn't consider cultural differences in expressing distress.,Challenges of implementing AI in health care,"Challenges with security, bias, and access",community member,mental health clinic
140,"Our system's AI for allocating resources seems to favor larger hospitals, starving smaller ones.",Challenges of implementing AI in health care,"Challenges with security, bias, and access",health system administrator,health network management
118,"The AI health risk predictor uses zip code as a proxy for race, reinforcing segregation in care.",Challenges of implementing AI in health care,"Challenges with security, bias, and access",researcher,public health program
134,"Our public health program's AI for outbreak prediction uses data only from urban areas, missing rural spikes.",Challenges of implementing AI in health care,"Challenges with security, bias, and access",public health worker,public health program
109,Public health AI programs are rolled out in cities first; rural communities are an afterthought.,Challenges of implementing AI in health care,"Challenges with security, bias, and access",community member,community health setting
91,The AI mental health chatbot records conversations; I'm not sure who has access to my deepest thoughts.,Challenges of implementing AI in health care,"Challenges with security, bias, and access",patient,mental health clinic
77,"Algorithmic bias in the risk-prediction model unfairly flags Black patients as high-risk more often, leading to worse care.",Challenges of implementing AI in health care,"Challenges with security, bias, and access",researcher,public health program
116,Only tech-literate patients benefit from the new AI health navigator; others are confused and frustrated.,Challenges of implementing AI in health care,"Challenges with security, bias, and access",caregiver,patient portal
133,"The AI skin cancer detector was trained mostly on light-skinned individuals, so it's less accurate for me.",Challenges of implementing AI in health care,"Challenges with security, bias, and access",patient,dermatology clinic
332,"I felt respected when the genetic counselor used an AI tool with me and said, 'Your input will shape the final report.'",Recommendations on public involvement in AI in health care,"Experience, empowerment, and raising awareness",patient,genetics clinic
292,The health system should host community town halls where engineers demo the diagnostic AI and answer our 'scary robot' questions.,Recommendations on public involvement in AI in health care,"Experience, empowerment, and raising awareness",community member,public health program
323,"Empowerment is giving patients a simple opt-out choice for AI-driven reminders, with a clear explanation of what they’d miss.",Recommendations on public involvement in AI in health care,"Experience, empowerment, and raising awareness",ethics board member,data governance
311,"The health department’s social media should have short clips of real patients saying, 'The AI flag for diabetes helped me catch it early.'",Recommendations on public involvement in AI in health care,"Experience, empowerment, and raising awareness",public information officer,public health campaign
297,"I told my clinician I was wary of the triage AI; she gave me a link to a short animation about how it works, which eased my mind.",Recommendations on public involvement in AI in health care,"Experience, empowerment, and raising awareness",patient,emergency department
294,Let’s create a 'Meet the AI' open house at the senior center where older adults can use the appointment-scheduling bot with help.,Recommendations on public involvement in AI in health care,"Experience, empowerment, and raising awareness",public health worker,community health setting
306,"I was scared of the AI that predicted my heart risk until a cardiologist drew the comparison to a weather forecast—probabilities, not certainties.",Recommendations on public involvement in AI in health care,"Experience, empowerment, and raising awareness",patient,cardiology clinic
348,"I'd feel more comfortable with AI if the health system published short, jargon-free case studies of successful uses for common conditions.",Recommendations on public involvement in AI in health care,"Experience, empowerment, and raising awareness",patient advocate,health system website
307,We need 'AI Ambassadors'—patients who’ve used tools like the medication-adherence app—to chat with others in the waiting room.,Recommendations on public involvement in AI in health care,"Experience, empowerment, and raising awareness",health administrator,ambulatory care
335,The physical therapist used motion-capture AI and showed me my gait on screen; that visual made me want to improve.,Recommendations on public involvement in AI in health care,"Experience, empowerment, and raising awareness",patient,rehabilitation clinic
333,"Awareness grows when local news runs a segment on the AI that catches early-stage lung cancer, featuring a survivor who benefited.",Recommendations on public involvement in AI in health care,"Experience, empowerment, and raising awareness",journalist,media partnership
302,The hospital should send a simple post-visit email: 'Here’s the AI we used for you today and what it considered—any questions?',Recommendations on public involvement in AI in health care,"Experience, empowerment, and raising awareness",family member,inpatient setting
321,The community center is hosting an 'AI & Your Health' night where tech developers and patients co-present how tools are built and used.,Recommendations on public involvement in AI in health care,"Experience, empowerment, and raising awareness",community organizer,town hall meeting
319,My health plan sent a newsletter with a comic strip explaining how AI finds fraud—it made a complex topic feel accessible.,Recommendations on public involvement in AI in health care,"Experience, empowerment, and raising awareness",health plan member,insurance portal
42,"Alert fatigue is a problem, but the sepsis warning system is accurate enough that we act on it every time.",Advantages of implementing AI in health care,Improve quality of patient care and shared decision-making,Hospitalist,General medicine floor
34,"The algorithm suggested an alternative diagnosis that was correct, preventing a prolonged illness.",Advantages of implementing AI in health care,Improve quality of patient care and shared decision-making,Patient,Infectious disease clinic
11,Clinical decision support at the bedside reduced variation in how we manage sepsis protocols.,Advantages of implementing AI in health care,Improve quality of patient care and shared decision-making,Emergency Department physician,Emergency department
56,"The AI-driven health portal translates my lab results into plain language, so I can go into my appointment ready to talk about what they mean.",Advantages of implementing AI in health care,Improve quality of patient care and shared decision-making,patient,patient portal
49,Predictive models for post-op pain help us personalize analgesic plans and reduce opioid use.,Advantages of implementing AI in health care,Improve quality of patient care and shared decision-making,Anesthesiologist,Pain management service
47,"I used an AI symptom navigator to prepare for my specialist appointment, making the consult more focused.",Advantages of implementing AI in health care,Improve quality of patient care and shared decision-making,Patient,Pre-visit preparation
55,"Our clinic's AI second-opinion tool gives patients and physicians a solid, data-driven comparison to discuss before a major procedure.",Advantages of implementing AI in health care,Improve quality of patient care and shared decision-making,clinician,surgical consult clinic
70,"As a researcher developing these tools, our focus is on creating explanations that clinicians can use to truly collaborate with patients.",Advantages of implementing AI in health care,Improve quality of patient care and shared decision-making,technology developer,health AI lab
2,"Using the diagnostic support system, we caught an early sign of a complication that might have been missed otherwise.",Advantages of implementing AI in health care,Improve quality of patient care and shared decision-making,Clinician,Primary care clinic
31,Clinical pathways embedded in the EHR standardize care but still allow for personalized adjustments.,Advantages of implementing AI in health care,Improve quality of patient care and shared decision-making,Hospital administrator,Quality improvement meeting
66,"In our telehealth visit, the AI analyzed my home blood pressure trends so my nurse and I could adjust my medication plan together.",Advantages of implementing AI in health care,Improve quality of patient care and shared decision-making,patient,remote patient monitoring program
53,"The treatment planning AI presented my care team with evidence-based alternatives, which we then discussed together as a group.",Advantages of implementing AI in health care,Improve quality of patient care and shared decision-making,family member,hospital care coordination meeting
10,I feel more involved now that the portal shows me how my data compares to similar cases.,Advantages of implementing AI in health care,Improve quality of patient care and shared decision-making,Patient,Patient portal use
29,"The chatbot answered my basic questions about my new medication 24/7, freeing the nurse for more complex issues.",Advantages of implementing AI in health care,Improve quality of patient care and shared decision-making,Patient,Post-discharge follow-up
19,The tool translated my medical jargon into simple terms for my elderly parents to understand the care plan.,Advantages of implementing AI in health care,Improve quality of patient care and shared decision-making,Patient,Hospital discharge planning
58,Our shared decision-making aid for chronic conditions uses AI to model how different medications might work for me specifically.,Advantages of implementing AI in health care,Improve quality of patient care and shared decision-making,patient,chronic disease management program
57,"In the emergency department, the AI's rapid assessment helped the team and me quickly understand the severity and the need for admission.",Advantages of implementing AI in health care,Improve quality of patient care and shared decision-making,patient,emergency department
50,The shared decision-making module for joint replacement showed me realistic functional outcomes based on my age.,Advantages of implementing AI in health care,Improve quality of patient care and shared decision-making,Patient,Orthopedic surgery consult
18,Algorithmic suggestions for antibiotic choice have reduced inappropriate prescribing in our clinic.,Advantages of implementing AI in health care,Improve quality of patient care and shared decision-making,Infectious disease specialist,Urgent care
9,The risk stratification tool helped us prioritize patients who needed urgent cardiac follow-up.,Advantages of implementing AI in health care,Improve quality of patient care and shared decision-making,Cardiologist,Heart clinic
17,"My doctor showed me an AI-generated risk score for heart disease, which motivated me to change my lifestyle.",Advantages of implementing AI in health care,Improve quality of patient care and shared decision-making,Patient,Preventive cardiology
6,"The system flagged a potential drug interaction before the prescription was sent, preventing a possible error.",Advantages of implementing AI in health care,Improve quality of patient care and shared decision-making,Pharmacist,Hospital pharmacy
30,Genomic analysis tools helped select the most promising targeted therapy for my cancer.,Advantages of implementing AI in health care,Improve quality of patient care and shared decision-making,Patient,Oncology molecular board
43,"The platform facilitates secure messaging with my care team, making quick clarifications possible.",Advantages of implementing AI in health care,Improve quality of patient care and shared decision-making,Patient,Telehealth follow-up
51,"The AI tool helped my doctor show me a clear visual of my treatment options, making our conversation about surgery much more informed.",Advantages of implementing AI in health care,Improve quality of patient care and shared decision-making,patient,oncology clinic
68,My pediatrician used an AI growth predictor to show me and my child how different lifestyle choices could impact her health trajectory.,Advantages of implementing AI in health care,Improve quality of patient care and shared decision-making,parent,pediatric wellness visit
36,"The shared dashboard shows my progress against my care goals, which we review with the whole team.",Advantages of implementing AI in health care,Improve quality of patient care and shared decision-making,Patient,Chronic disease management
67,"The decision aid for prostate cancer treatment used AI to calculate my personal risk/benefit profile, making the choice less abstract.",Advantages of implementing AI in health care,Improve quality of patient care and shared decision-making,patient,urology clinic
12,The treatment recommendation engine incorporated my preferences about side effects into the final plan.,Advantages of implementing AI in health care,Improve quality of patient care and shared decision-making,Patient,Cancer treatment center
65,"The public health screening AI identified a risk factor I didn't know about, leading to a productive conversation with my doctor about prevention.",Advantages of implementing AI in health care,Improve quality of patient care and shared decision-making,community member,community health fair
64,"For my complex condition, the AI synthesized my entire medical history to help my specialist and me decide on the next targeted therapy.",Advantages of implementing AI in health care,Improve quality of patient care and shared decision-making,patient,tertiary care hospital
32,Seeing a visual prediction of my blood sugar trends helped me understand the impact of diet and exercise.,Advantages of implementing AI in health care,Improve quality of patient care and shared decision-making,Patient,Diabetes management class
27,It provides a structured way to discuss palliative care options based on my specific prognosis.,Advantages of implementing AI in health care,Improve quality of patient care and shared decision-making,Patient,Hospice evaluation
1,"The AI tool gave my doctor a clear summary of my options, which made our conversation about treatment much easier to understand.",Advantages of implementing AI in health care,Improve quality of patient care and shared decision-making,Patient,Oncology consultation
69,The AI treatment summary sent to my pharmacist helped us both verify the plan and discuss potential interactions before I filled the prescription.,Advantages of implementing AI in health care,Improve quality of patient care and shared decision-making,patient,community pharmacy
71,"The AI-powered pre-visit questionnaire organized my symptoms into a clear format, so my doctor and I could tackle the most pressing issues first.",Advantages of implementing AI in health care,Improve quality of patient care and shared decision-making,patient,general medicine practice
54,"I now get a personalized summary from the AI after my specialist visit, which helps me remember the key points and ask better follow-up questions.",Advantages of implementing AI in health care,Improve quality of patient care and shared decision-making,patient,specialist outpatient clinic
24,"Screening algorithms help us identify high-risk individuals for earlier, more effective intervention.",Advantages of implementing AI in health care,Improve quality of patient care and shared decision-making,Public health nurse,Community screening program
28,Pre-operative risk assessment tools give patients realistic expectations about surgical outcomes.,Advantages of implementing AI in health care,Improve quality of patient care and shared decision-making,Surgeon,Surgical consult
35,Radiology decision support reduces false negatives in mammography reads.,Advantages of implementing AI in health care,Improve quality of patient care and shared decision-making,Breast surgeon,Multidisciplinary tumor board
23,The platform lets me adjust parameters and immediately see how it affects my projected recovery timeline.,Advantages of implementing AI in health care,Improve quality of patient care and shared decision-making,Patient,Rehabilitation therapy
3,The algorithm highlighted patterns in my lab results that helped pinpoint the issue faster.,Advantages of implementing AI in health care,Improve quality of patient care and shared decision-making,Patient,Endocrinology appointment
61,"The mental health chatbot helped me articulate my symptoms before my therapy session, so we could use that time more effectively for planning.",Advantages of implementing AI in health care,Improve quality of patient care and shared decision-making,patient,telehealth mental health service
8,"It generates plain-language explanations of complex conditions, which I then review with my doctor.",Advantages of implementing AI in health care,Improve quality of patient care and shared decision-making,Patient,Neurology follow-up
39,"Natural language processing extracts key social determinants from notes, prompting us to address food insecurity.",Advantages of implementing AI in health care,Improve quality of patient care and shared decision-making,Social worker,Primary care panel management
63,"The imaging AI highlighted areas of concern on my scan, which the radiologist walked me through during the results discussion.",Advantages of implementing AI in health care,Improve quality of patient care and shared decision-making,patient,radiology department
62,"Our health system's AI care navigator suggests relevant questions for patients to ask their specialists, empowering them in the consultation.",Advantages of implementing AI in health care,Improve quality of patient care and shared decision-making,health administrator,patient experience office
52,"Using the diagnostic support system, my physician could explain the reasoning behind my new diagnosis in a way I finally understood.",Advantages of implementing AI in health care,Improve quality of patient care and shared decision-making,patient,primary care clinic
7,My care team used a predictive model to tailor my recovery plan specifically to my health history.,Advantages of implementing AI in health care,Improve quality of patient care and shared decision-making,Patient,Post-surgical unit
16,It’s like having a knowledgeable assistant that reminds me of the latest guidelines during a busy clinic day.,Advantages of implementing AI in health care,Improve quality of patient care and shared decision-making,Primary care physician,Family practice
41,Treatment simulation models show patients the probable outcomes of choosing dialysis versus conservative management.,Advantages of implementing AI in health care,Improve quality of patient care and shared decision-making,Nephrologist,Kidney care clinic
45,The risk calculator for childbirth complications helped me decide on a hospital birth over a home birth.,Advantages of implementing AI in health care,Improve quality of patient care and shared decision-making,Expectant mother,Obstetrician's office
38,It quantified my stroke risk in a way that made the need for blood pressure medication obvious to me.,Advantages of implementing AI in health care,Improve quality of patient care and shared decision-making,Patient,Neurology clinic
5,"AI-assisted imaging analysis provided a second opinion that confirmed our initial reading, increasing our confidence.",Advantages of implementing AI in health care,Improve quality of patient care and shared decision-making,Radiologist,Diagnostic imaging department
13,AI-powered symptom checkers help patients articulate their concerns more clearly before the visit.,Advantages of implementing AI in health care,Improve quality of patient care and shared decision-making,Medical office staff,Outpatient clinic intake
46,Automated image measurement tools provide more consistent tumor size tracking over time.,Advantages of implementing AI in health care,Improve quality of patient care and shared decision-making,Oncologist,Tumor board conference
26,Real-time sepsis alerts have improved our team's response time and patient outcomes.,Advantages of implementing AI in health care,Improve quality of patient care and shared decision-making,Nurse manager,Intensive care unit
25,"The AI consult summarized relevant research for my rare condition, which my doctor and I discussed together.",Advantages of implementing AI in health care,Improve quality of patient care and shared decision-making,Patient,Specialist referral
59,The AI presented my caregiver and me with a side-by-side comparison of home care vs. rehab facility options based on my recovery goals.,Advantages of implementing AI in health care,Improve quality of patient care and shared decision-making,caregiver,discharge planning session
44,AI-driven resource allocation ensures that our limited ICU beds are used for patients who will benefit most.,Advantages of implementing AI in health care,Improve quality of patient care and shared decision-making,Health system operations director,Hospital operations center
37,Predictive staffing models ensure we have the right expertise available when complex cases arrive.,Advantages of implementing AI in health care,Improve quality of patient care and shared decision-making,ED charge nurse,Emergency department
20,Predictive analytics for readmission risk allow us to arrange better support for vulnerable patients.,Advantages of implementing AI in health care,Improve quality of patient care and shared decision-making,Hospital case manager,Inpatient ward
72,Our health system's policy now mandates that any AI recommendation for major treatment must be presented with understandable rationale for patient discussion.,Advantages of implementing AI in health care,Improve quality of patient care and shared decision-making,policymaker,health system governance board
4,"This decision aid presents the risks and benefits of each surgery type visually, so my family and I could weigh them together.",Advantages of implementing AI in health care,Improve quality of patient care and shared decision-making,Patient,Pre-operative clinic
14,We use a shared decision-making platform that visualizes long-term outcomes for different diabetes management strategies.,Advantages of implementing AI in health care,Improve quality of patient care and shared decision-making,Diabetes educator,Community health center
40,"The AI's explanation of my test results was more detailed than what I got in person, so I came prepared with questions.",Advantages of implementing AI in health care,Improve quality of patient care and shared decision-making,Patient,Lab results review
21,I trust the diagnosis more because the AI corroborated what the specialist was seeing.,Advantages of implementing AI in health care,Improve quality of patient care and shared decision-making,Patient,Dermatology skin check
15,The pathology AI identified a subtle feature that changed the diagnosis and thus the entire treatment approach.,Advantages of implementing AI in health care,Improve quality of patient care and shared decision-making,Pathologist,Laboratory
22,"Voice-to-note AI captures my clinical reasoning, so I can spend more face-to-face time explaining things to patients.",Advantages of implementing AI in health care,Improve quality of patient care and shared decision-making,Clinician,Outpatient mental health
48,Clinical documentation improvement software prompts for missing data that affects quality metrics and reimbursement.,Advantages of implementing AI in health care,Improve quality of patient care and shared decision-making,Medical coder,Health information department
33,AI triage bots ensure that urgent mental health concerns are routed to a human counselor immediately.,Advantages of implementing AI in health care,Improve quality of patient care and shared decision-making,Mental health administrator,Crisis helpline
60,"As a clinician, the AI's differential diagnosis list prompts me to consider possibilities I might have missed, which we then rule out together with the patient.",Advantages of implementing AI in health care,Improve quality of patient care and shared decision-making,clinician,primary care clinic
483,"The new diagnostic software is accurate, but patients complain they leave appointments feeling like a data point rather than a person.",Challenges of implementing AI in health care,Lack of human touch in care and decision-making,health administrator,primary care clinic
490,"I'm a tech developer, and even I refuse to let my aging parents use the fully automated pharmacy kiosk. They need to talk to a human who knows their names.",Challenges of implementing AI in health care,Lack of human touch in care and decision-making,technology developer,pharmacy
462,"The AI note-taker is accurate, but my doctor's narrative—the 'story' of my illness—is what helped me understand and accept my diagnosis.",Challenges of implementing AI in health care,Lack of human touch in care and decision-making,patient,specialist consultation
477,"The decision support tool lists options, but it doesn't say 'I've seen this before, and I think we should try X because of Y.' That trust is human.",Challenges of implementing AI in health care,Lack of human touch in care and decision-making,clinician,complex case conference
432,"The diagnostic AI is precise, but it cannot sit with a family and deliver a difficult diagnosis with the compassion a human can.",Challenges of implementing AI in health care,Lack of human touch in care and decision-making,clinician,oncology treatment planning
470,"The mental health chatbot follows protocols, but it can't sit in silence with me when I'm too broken to type.",Challenges of implementing AI in health care,Lack of human touch in care and decision-making,patient,digital mental health platform
485,"We've automated patient intake, and now the waiting room is silent. People used to comfort each other; now they just stare at tablets.",Challenges of implementing AI in health care,Lack of human touch in care and decision-making,community health worker,community health center
500,"We're deploying AI for chronic disease management, but patient adherence is low. People don't connect with a device; they connect with a person who checks in on them genuinely.",Challenges of implementing AI in health care,Lack of human touch in care and decision-making,health program director,chronic disease management program
451,"The system flags 'frequent flyer' patients. That label from an algorithm makes them feel like a problem, not a person in pain.",Challenges of implementing AI in health care,Lack of human touch in care and decision-making,social worker,hospital admissions office
466,"The predictive model says this neighborhood has poor health outcomes, but it doesn't capture the strength of the community ties we rely on.",Challenges of implementing AI in health care,Lack of human touch in care and decision-making,community health worker,public health outreach
206,"They installed a chatbot for appointment scheduling, but it keeps giving me the wrong times. I thought AI was supposed to be smarter than this.",Challenges of implementing AI in health care,Public misunderstanding of AI,Patient,Clinic registration desk
147,"They say the AI scheduler is efficient, but it keeps booking my appointments at weird times I never chose.",Challenges of implementing AI in health care,Public misunderstanding of AI,patient,appointment scheduling
174,The AI said my symptoms are likely anxiety. But what if it's missing a physical problem because it's just a program?,Challenges of implementing AI in health care,Public misunderstanding of AI,patient,primary care
199,I'm worried the AI will make a mistake with my medication and I'll have no one to blame. Who is responsible when the computer errs?,Challenges of implementing AI in health care,Public misunderstanding of AI,Patient,Pharmacy pickup
178,The AI said I'm a good candidate for a clinical trial. Does that mean I'm a guinea pig for the technology?,Challenges of implementing AI in health care,Public misunderstanding of AI,patient,research clinic
203,"Everyone says AI will revolutionize care, but my experience hasn't changed. Are they just hyping it up?",Challenges of implementing AI in health care,Public misunderstanding of AI,Long-term patient,Dialysis clinic
168,I worry AI will make healthcare more expensive. Will they charge extra for the computer's opinion?,Challenges of implementing AI in health care,Public misunderstanding of AI,patient,billing office
202,"My doctor mentioned an AI second opinion, but I thought AI was just for tech companies. I didn't know it was in medicine yet.",Challenges of implementing AI in health care,Public misunderstanding of AI,Patient,Specialist consultation room
184,"They say AI reduces errors, but I'm scared of a new kind of error I can't even argue with because a machine made it.",Challenges of implementing AI in health care,Public misunderstanding of AI,patient,hospital
207,"I don't trust it. If an AI tells me I need surgery, how do I know it's not just guessing based on biased data?",Challenges of implementing AI in health care,Public misunderstanding of AI,Patient advocate,Hospital patient advisory council meeting
155,I'm confused—is the chatbot my first doctor now? It asked questions but didn't seem to understand my answers properly.,Challenges of implementing AI in health care,Public misunderstanding of AI,patient,telehealth
208,"My grandson says AI will take over healthcare, but my doctor laughed. Who's right? There's so much conflicting information.",Challenges of implementing AI in health care,Public misunderstanding of AI,Elderly community member,Senior center lunch
177,I'm worried the AI will label me as 'non-compliant' if I don't follow its digital instructions perfectly.,Challenges of implementing AI in health care,Public misunderstanding of AI,patient,chronic disease management
192,I worry the AI drug interaction checker misses things because it's only as good as the data they feed it.,Challenges of implementing AI in health care,Public misunderstanding of AI,patient,pharmacy
167,"If the AI makes a mistake, who is responsible? The company that built it or the hospital that uses it?",Challenges of implementing AI in health care,Public misunderstanding of AI,patient,hospital
214,"They say AI reduces errors, but I'm afraid it will create new ones we can't understand because it's so complicated.",Challenges of implementing AI in health care,Public misunderstanding of AI,Hospital volunteer,Nurse station
197,"They talked about AI in the newsletter, but it all sounded like science fiction. I don't understand how a computer can help with my chronic condition.",Challenges of implementing AI in health care,Public misunderstanding of AI,Patient with chronic illness,Patient portal helpdesk call
194,My physiotherapist uses AI to analyze my movement. Can it tell the difference between pain and poor form?,Challenges of implementing AI in health care,Public misunderstanding of AI,patient,rehabilitation clinic
221,The AI chatbot that handles initial symptom triage for the nurse line frees up human staff for more complex cases and shortens call wait times significantly.,Advantages of implementing AI in health care,System improvements,public health worker,telehealth service
238,I can now complete most insurance forms and pre-visit questionnaires online through a smart AI-assisted form that adapts to my answers.,Advantages of implementing AI in health care,System improvements,patient,orthopedic clinic
270,"The new AI system for organizing electronic health records makes it easier for doctors to find past information, improving continuity of care.",Advantages of implementing AI in health care,System improvements,clinician,health data system
242,"The AI that forecasts clinic supply needs has almost ended last-minute orders for bandages and gloves, saving money and preventing shortages.",Advantages of implementing AI in health care,System improvements,materials manager,ambulatory surgery center
222,"Automated appointment reminders and rescheduling through the AI system have drastically reduced our no-show rate, making the schedule more efficient for everyone.",Advantages of implementing AI in health care,System improvements,clinic receptionist,outpatient clinic
227,The AI-driven resource allocation tool during the recent respiratory illness surge helped our hospital balance ICU beds and staff without the usual chaos.,Advantages of implementing AI in health care,System improvements,emergency physician,hospital intensive care unit
262,"Predictive modeling of patient no-shows allows our scheduling team to overbook strategically, keeping physician schedules fuller without overburdening them.",Advantages of implementing AI in health care,System improvements,scheduling supervisor,multi-specialty group practice
251,The AI that analyzes clinic foot traffic and room turnover times has helped our practice see 10% more patients without extending hours.,Advantages of implementing AI in health care,System improvements,practice administrator,urgent care clinic
247,Using AI to monitor equipment maintenance schedules has reduced unexpected downtime for essential devices like MRI machines.,Advantages of implementing AI in health care,System improvements,biomedical engineer,imaging department
269,I used to spend hours on the phone trying to book a check-up; now the AI chatbot books my appointments in seconds.,Advantages of implementing AI in health care,System improvements,patient,appointment scheduling
