ad_creative_body,Typology 1,Typology 2,Typology 3,Typology 4,sampled_code
"When it comes to protecting our land, stringent state and local regulations keep Colorado healthy while ensuring we can still responsibly access our states vast energy resources. Learn more about how we are protecting the world we all share while providing the energy Colorado needs:",GA,SA,,,GA
ConocoPhillips has a deep commitment to sustainability across the globe. Because we all have a vested interest in the future.,GA,,,,GA
"What does it take to reduce emissions? Tech, better processes, and smart people like Chevrons manager of carbon reduction. Learn how:",GA,,,,GA
The Marcus Hook Industrial Complex is lowering CO2 emissions & bettering PAs environment.,GA,,,,GA
"Pioneering technologies, innovation, and collaboration is making Texas communities cleaner, stronger, and better. Click to learn how the oil and natural gas industry is leading this effort.",GA,,,,GA
"The natural gas and oil industry will meet the challenges ahead, for a stronger economy and cleaner future by expanding partnerships, developing best-in-class standards, driving new technologies, and supporting smarter regulations that boost innovation.EnergyForProgress",CA,GA,,,GA
"The climate is changing. And Colorados oil and natural gas industry is part of the solution. We are cutting emissions, restoring the land after drilling, and reducing our impact. Learn more about our commitment:",GC,,,,GC
Making natural gas even more efficient is a win for the economy and the environment. Learn how our engineers are designing new turbines thatll top their own records for efficiency.,GC,,,,GC
"Your clean energy future is here with todays natural gassupporting the growth of wind, solar, and renewable natural gas.",GC,PA,,,GC
Carbon emission intensity tied to power generation continues to decline as natural gas gains a larger share of electricity generation.,GC,,,,GC
"Williams Rocky Mountain Midstream is your reliable energy source, ensuring your home and business stay up and running.",PA,GC,,,GC
"A proposed clean energy bill in PA aims to support natural gas, electric and hydrogen vehicles by developing transportation infrastructure. Natural gas is part of PA's clean energy future.",GC,,,,GC
"At Williams, we value safety and reliability. It's how we fuel the clean energy future.",PA,GC,,,GC
"Through innovative partnerships, we've reduced CO2 emissions to the lowest in a generationand now we're working to reduce methane, too.",GC,,,,GC
Increased investment in natural gas infrastructure has brought U.S. emissions to their lowest in a generation even as demand has increased. Get the wider view:,GC,,,,GC
"Colorado's oil and natural gas industry works to provide clean energy today as we help build sustainable, reliable energy for our communities tomorrow. It's not the easiest balancing act, but this is the only way to get from where we are to where we all hope to go.",GC,PA,,,GC
The transformation from a refinery to a state-of-the-art natural gas liquids energy hub has improved air quality for a better environmental future. Stay up to date on the project.,GC,,,,GC
Natural gas is key to building the bridge to an all-renewable future through hybrid renewable systems that combine weather-dependent energy forms with a natural gas backstop.,GC,,,,GC
"Colorado's oil and natural gas industry maintains some of the strongest energy regulations in the country. Our first-in-the-nation regulations go the extra mile to strengthen Colorado communities and provide clean energy today as we help build a sustainable, reliable energy future.",SA,PA,GC,,GC
"Over the last 7 years, methane emissions intensity in the Permian Basin has declined significantly, while oil production nearly tripled over the same period.",GC,,,,GC
"Natural gas is a source of clean, safe and affordable energy that you can rely on, come what may.",GC,PA,,,GC
WATCH NOW: Williams is committing up to $400 million to leading our clean energy future through solar investment.,GA,GC,,,GC
"Williams Rocky Mountain Midstream provides reliable, safe, and affordable clean energy to Colorado.",PA,,,,PA
Wink to Webster is working hard to minimize the projects impact on communities and the environment.,PA,,,,PA
"Americas natural gas and oil industry is constantly finding new ways to create a cleaner, stronger tomorrow. Like our page to join us on this journey.",PA,,,,PA
"The Line 3 replacement will keep energy flowing in Minnesota and costs low for working families. Plus, it ""would come equipped with the latest technology for the prevention and early detection of spills.""",PA,,,,PA
Young voters want affordable climate change solutions and recognize the affordability of natgas. See how natural gas is critical for American communities:,PA,GC,,,PA
"With so many families reliant on natural gas, its more important than ever to make sure we have this infrastructure up-to-date, learn more about what Virginia is doing to help its residents save on energy!",PA,,,,PA
"From decreased energy costs for families to increased investments in school systems and infrastructure, Americans benefit from the economic growth driven by the U.S. natural gas and oil industry. EnergyForProgress",PA,CA,,,PA
"Hand sanitizer was in high demand in Colorado County, so Wink to Webster helped by distributing hospital-grade hand sanitizer produced by ExxonMobil refineries. Just another way we are trying to be a Good Neighbor.",PB,,,,PB
"Energy Transfer is proud to move the energy that powers our supply chain, fuels our connections, and makes life-saving medications possible. Plastic medical equipment such as MRI machines and heart valves are made from petroleum that is transported through our underground pipelines. We salute those on the front lines taking care of our families, neighbors and communities.",PB,,,,PB
"Hand sanitizer was in high demand in Coke County, so Wink to Webster helped by distributing hospital-grade hand sanitizer produced by ExxonMobil refineries. Just another way we are trying to be a Good Neighbor.",PB,,,,PB
"Energy Transfer is proud to move the energy that powers our supply chain, fuels our connections, and makes life-saving medications possible. Protective medical gear such as plastic eyewear is made from petroleum that is transported through our underground pipelines. We salute those on the front lines taking care of our families, neighbors and communities.",PB,,,,PB
Did you know energy workers have a role in protecting health care providers? Learn how here:,PB,,,,PB
The Marcus Hook Industrial Complex stores and processes clean-burning ethane & propane that create household items we use every day. See the role we play in PA.,PB,PA,GC,,PB
There is no doubt that fracking has transformed our world and has allowed companies to produce more oil and natural gas than ever before. But what would happen if there was a ban on the activity?,SA,PA,GC,PB,PB
"Energy Transfer is proud to move the energy that powers our supply chain, fuels our connections, and makes life-saving medications possible. We salute those on the front lines taking care of our families, neighbors and communities.",PB,,,,PB
"ExxonMobil, the operator of the Wink to Webster Pipeline, is supplying more than 160,000 gallons of hand sanitizer produced at its refineries to help communities stay safe especially those on the front lines.",PB,,,,PB
"Hand sanitizer was in high demand in Houston, so Wink to Webster helped by donating hospital-grade hand sanitizer produced by ExxonMobil refineries to the Julia C Hester House.",PB,,,,PB
Some of the country's brightest minds are working on cleaner ways to fuel cars and trucks. See how we're fueling the future.,PB,,,,PB
Pipelines help American families make ends meet by keeping the essentials affordable.,PA,PB,,,PB
"Like this post if you are a natgas utility worker. Thank you for your hard work to fuel PPE production, essential services and our homes!",PA,PB,CA,,PB
Pipelines keep the cost for products you use everyday low for you and local businesses.,PB,,,,PB
"We are Committed2PA by safely transporting NGLs, including ethane & propane, the building blocks of essential medical supplies.",PB,,,,PB
"Hand sanitizer was in high demand in Burnet County, so Wink to Webster helped by distributing hospital-grade hand sanitizer produced by ExxonMobil refineries. Just another way we are trying to be a Good Neighbor.",PB,,,,PB
Oil and natural gas do more than just keep the lights on our products also help protect frontline medical workers. Find out how!,PA,PB,,,PB
"From cooking your breakfastto warming your shower to fueling your ride, mornings in Ohio are made with natural gas and oil. Learn more EssentialOhioEnergy",PA,PB,,,PB
"Petrochemicals create the plastics that make your car lighter, faster and stronger. How much do you know about these energy innovations?",PB,,,,PB
American energy delivering what's essential.,PB,PA,,,PB
Energy Transfer has expanded measures to keep everyone safe & healthy while delivering the energy used to make critical products.,PB,,,,PB
"Hand sanitizer was in high demand in Lee County, so Wink to Webster helped by distributing hospital-grade hand sanitizer produced by ExxonMobil refineries. Just another way we are trying to be a Good Neighbor.",PB,,,,PB
"Energy Transfer is proud to move the energy that powers our supply chain, fuels our connections, and makes life-saving medications possible. Isopropyl (rubbing) alcohol in hand sanitizers is derived from propane that is transported through our underground pipelines. We salute those on the front lines taking care of our families, neighbors and communities.",PB,,,,PB
Propane stored and processed at MHIC is used to make essential items like hand sanitizer.,PB,,,,PB
"Hand sanitizer was in high demand in Williamson County, so Wink to Webster helped by distributing hospital-grade hand sanitizer produced by ExxonMobil refineries. Just another way we are trying to be a Good Neighbor.",PB,,,,PB
It heats our coffee and makes the mug. Mornings cant start without Ohio natural gas and oil. EssentialOhioEnergy,PA,PB,,,PB
Propane stored and processed in PA is used to make essential items like hand sanitizer.,PB,,,,PB
"From backpacks to binders to calculators, natgas helps fuel the production of the essential supplies that students need, whether they are starting out the school year at home or at school! FuelingOurCommunities",PB,,,,PB
"From producing personal protective equipment to generating affordable, reliable power, Ohio natural gas & oil has been essential during this public health challenge.",PA,PB,,,PB
"Employees at a PA petrochemical plant worked ""all day and night for a month straight, producing tens of millions of pounds of the raw materials that will end up in face masks and surgical gowns worn on the front lines of the pandemic."" Read their story:",PB,,,,PB
"Hand sanitizer was in high demand in Fort Bend County, so Wink to Webster helped by distributing hospital-grade hand sanitizer produced by ExxonMobil refineries. Just another way we are trying to be a Good Neighbor.",PB,,,,PB
Did you know that oil and natural gas products are part of your morning routine?,PB,,,,PB
"Energy Transfer is proud to move the energy that powers our supply chain, fuels our connections, and makes life-saving medical equipment possible. We salute those on the front lines taking care of our families, neighbors and communities.",PB,,,,PB
"Energy Transfer is proud to move the energy that powers our supply chain, fuels our connections, and makes life-saving medications possible. Protective medical gear such as synthetic rubber gloves is made from petroleum that is transported through our underground pipelines. We salute those on the front lines taking care of our families, neighbors and communities.",PB,,,,PB
"With no local crude oil supply, Minnesota needs Line 3. Crude oil produces gas & refined products like diesel, jet fuel, asphalt & more.",PB,PA,,,PB
"Energy Transfer is proud to move the energy that fuels our supply chain and powers our connections. Natural gas and petroleum transported through our pipelines fuel pharmaceutical manufacturing and are essential reagents and purifiers in the production of life-saving medications. We salute those on the front lines taking care of our families, neighbors and communities.",PB,,,,PB
The lightweight plastic in your car makes road trips more cost-efficient. Take the quiz and learn how!,PB,,,,PB
"Natgas helps fuel the production of critical supplies like masks, ventilators and hand sanitizer so that frontline workers can safely provide care 24/7/365. FuelingOurCommunities",PB,,,,PB
Did you know propane is a key component in CDC-recommended hand sanitizers? The Mariner East 2 pipeline helps transport propane throughout PA. Learn more: bit.ly/2vUpjNQ Committed2PA,PB,,,,PB
"TXOGA president Todd Staples talks with FOX 7 Austin's Rudy Koski on FOX 7 about the MANY products made from oil and natural gas that make modern life possible - contact lenses, cell phones, medical devices, hand sanitizer - while also providing affordable, reliable, and cleaner energy.",PA,PB,GC,,PB
Did you know Americas oil and gas industry helps develop the plastics in your vehicle that save you money? Find out how today!,PB,,,,PB
"Hand sanitizer was in high demand in San Saba County, so Wink to Webster helped by distributing hospital-grade hand sanitizer produced by ExxonMobil refineries. Just another way we are trying to be a Good Neighbor.",PB,,,,PB
"Energy Transfer is proud to move the energy that powers our supply chain, fuels our connections, and makes life-saving medications possible. Natural gas transported through our underground pipelines heats our homes, fuels our cooking, and is essential in pharmaceutical production. We salute those on the front lines taking care of our families, neighbors and communities.",PA,PB,,,PB
"Ohio natural gas & oil is more than just a dependable fuel source - oilandgas is used to make rubber tires, plastic components, & the synthetic fabrics in the seats. Learn more about how Ohio natural gas & oil is essential to life EssentialOhioEnergy",PA,PB,,,PB
Did you know many critical health care supplies are products of oil and natural gas? Take the quiz and learn how energy helps protect frontline workers.,PB,,,,PB
Manufacturers depend on Ohio natural gas & oil to fuel jobs across the state and serve as building blocks for lifes everyday products. Learn how Ohio natural gas & oil creates a more sustainable future for us all EssentialOhioEnergy,CB,PB,,,PB
"Energy Transfer is Committed2PA by safely transporting ethane & propane, the building blocks of essential medical supplies.",PB,,,,PB
Limiting Texas oil and natural gas means other nations will provide the energy the world needs. Keeping Texas strong keeps America strong. Say no to restricting Texas energy with production quotas.,SA,,,,SA
"With this kind of steady, upward movement were entering a new era in southeast New Mexico and the Permian, where production will remain at record highs as long policy remains stable -NMOGA Executive Director Ryan Flynn",SA,,,,SA
"As Americas 2nd largest producer of natural gas and oil North Dakota continues to play a significant role in shaping Americas energy future. Join us, and together we can carry on the significant progress made in keeping North Dakota energy strong.",SA,,,,SA
"New Mexico produced an average of 27 million barrels a month from Jan-Nov 2019, up 33% from the same period the year before.",SA,,,,SA
"Hear directly from those who have worked and benefited from the natural resources available in the Permian Basin in episode one of our new series, Voices of Texas Oil below",SA,CB,CA,,SA
"America's recovery is going to take energy, and we have a choice on how we get it. Why import from unstable regions when we can responsibly produce right here in America?",SA,,,,SA
U.S. energy leadership offers our nation stability and insulates us from hostile and unreliable suppliers.,SA,,,,SA
"Colorado's oil and natural gas industry maintains some of the strongest energy regulations in the country. Our first-in-the-nation regulations go the extra mile to strengthen Colorado communities and provide clean energy today as we help build a sustainable, reliable energy future.",SA,PA,GC,,SA
"Energy infrastructure is essential to growing American energy leadership, keeping energy costs low for working families and promoting economic development. But red tape is stalling infrastructure projects not just in the energy industry, but across the entire U.S. economy.",SA,PA,CA,,SA
New Mexico's oil boom is driving economic growth and American energy security! LIKE our page if you're proud to be an energy leader in the United States!,CA,SA,,,SA
The Texas energy industry relies on pipelines to keep U.S. oil & natural gas production.,SA,,,,SA
"Natural gas provides reliable, cleaner and affordable fuel to generate electricity. In fact, its the primary reason the U.S. has reduced carbon dioxide emissions more than any other nation since 2000. EnergyConversations",GC,PA,SA,,SA
"The story of Texas is one of grit, guts, and glory - and the same can be said about the industry that has defined the Lone Star State: oil and natural gas. Learn more about the new ""Texas Oil and Gas"" exhibit at the Bullock Texas State History Museum.",SA,,,,SA
Support minimizing flaring & methane emissions. Click to learn more and stay informed. The Texas oil and natural gas industry is a global leader in the responsible production of energy that has powered life for more than a century.,GA,SA,,,SA
The U.S. leads the world in energy production and reducing greenhouse gas emissions. Like our page to learn how.,SA,,,,SA
"American energy security lays the foundation for our national security and the innovation needed to power the future. Americas natural gas and oil companies are proud of the progress thats been made, and will continue to find new ways to support our countrys economic, environmental, and global leadership. Sign up to stay informed!",SA,CA,,,SA
"Natural gas and oil power Americas 21st-century economy, strengthen our nations security and support U.S. global leadership in reducing greenhouse gases. EnergyForProgress",CA,SA,,,SA
"To grow American energy leadership, we must look to the future and prepare for projections that global energy demand will rise with policies that support safe, responsible domestic natural gas and oil production. SOAE2020 EnergyForProgress",GA,SA,,,SA
Texas oil + pipelines make America the worlds energy leader. TexasStrong TexasProud,SA,,,,SA
Oil and natural gas production from the Permian Basin has helped America become less reliant on foreign energy sources. We cannot afford to stifle the progress weve made with disastrous proposals like a federal fracking ban.,SA,,,,SA
Restricting local oil & gas production would force us to import more oil from foreign countries to meet our needs while increasing our gas prices.,SA,PA,,,SA
Pipelines are the safest and most efficient method of transporting the oil and natural gas that we rely on every day. But what if there were no pipelines...,PA,GA,SA,,SA
Restricting local oil & gas production would force us to import more oil from foreign countries to meet our needs and increase our gas prices.,SA,PA,,,SA
