ad_creative_body,Typology 1,Typology 2,Typology 3,Typology 4,sampled_code
"Thanks for bearing with us while we work to bring energy, jobs and economic development to our community.",CA,CB,,,CA
"Teamster jobs are tied to our economy and our oil industry, and Ballot Measure 1 means fewer jobs for all of Alaska. That's why Eileen Whitmer, the President of Teamsters Local 959 in Fairbanks, is voting no on 1.",CA,CB,,,CA
Build the GreatLakesTunnel to protect local tax investment in counties and communities across Michigan.,CA,CB,,,CA
"Oil and gas help fund New Mexico's schools, public safety, and health care. Click YES if you support drilling!",CA,,,,CA
Support economic growth in Santa Barbara. Tell the Santa Barbara County Planning Commission to approve the SYU trucking permit and increase funding for local schools and public safety.,CA,,,,CA
"STEER Executive Director Stephanie Moreno writes in Mysoutex that ""Comments from people across the country about the oil and natural gas industry show a striking disconnect from what we know to be true as people who live, work and raise families alongside pumpjacks.""",GA,CA,,,CA
"North Dakotas energy resources are important to our states economy. But the benefits go beyond revenue. They provide local jobs and help local communities in countless ways. With new technology and innovation, we dont have to choose between providing jobs or protecting the environment we can do both.",CA,CB,GA,,CA
"A nationwide ban on natural gas and oil leasing and development could reverse progress toward U.S. energy security, threaten Americas economic growth and cut nearly a million jobs.",PA,CA,CB,,CA
"Pipelines are good for the Texas economy, improve air quality, and have a 99.999% safety record. Sign the pledge, support the Permian Highway Pipeline.",CA,CB,PA,,CA
"The oil and gas industry is THE engine that powers Americas economy. Take action against ineffective, unnecessary regulations!",CA,,,,CA
[N]atural gas infrastructure projects like Leidy South can provide a significant boost to our local economy.[]Williams has a long history of operations in Pennsylvania and we are pleased to see the company continuing to invest in our region. - Columbia Montour Chamber of Commerce President Fred Gaffney.,CA,CB,,,CA
"U.S. natural gas and oil supports millions of high-paying U.S. jobs and ensures the affordable, reliable delivery of energy to businesses and families.",CB,PA,CA,,CA
Get involved in the 2020 election to ensure were electing leaders who understand the industry is critical to paving the way for economic recovery. Visit our election resource page to get to know your candidates before you vote:,CA,,,,CA
"If you like affordable, reliable, clean, and secure Texas energy, make your voice heard by voting! Visit www.savetexasoilandgas.com and pledge to vote for economic and energy security.",CA,PA,GC,,CA
"The Texas Railroad Commission is deciding whether or not to limit Texas oil and gas production, also known as proration. We must act fast to protect our billion-dollar investments.",CA,,,,CA
"Help protect Alaska's jobs, economy and future by liking OneALASKA and voting no on Ballot Measure 1 on November 3rd.",CA,CB,,,CA
Were one Alaska Join Now,CA,,,,CA
Did you know that oil production revenue is the backbone of the Alaska Permanent Fund? Learn how it works in this explainer video.,CA,,,,CA
"Pennsylvania's existing impact tax has already produced nearly $1.7 billion in funds that pay for roads, parks, public safety, and other essential services. The Governor's new plan unnecessarily jeopardizes hundreds of thousands of jobs and much-needed local and state tax revenue.",CA,CB,,,CA
"Wink to Webster is delivering investment dollars, construction jobs and tax revenues to our local communities, while preparing to transport Permian oil to Gulf Coast refiners.",CA,CB,,,CA
"Natural gas and oil power Americas 21st-century, economy strengthen our nations security and support U.S. global leadership in reducing greenhouse gases.EnergyForProgress",CA,SA,,,CA
We are Committed2PA by supporting first responders & health care workers on the front lines who keep our communities safe.,CA,,,,CA
"""A stable oil industry supporting local jobs and businesses is vital, especially today."" That's why Captain Bob Candopolous of Saltwater Safari is going to Vote No on One.",CA,CB,,,CA
Streamlining NEPAs burdensome review process could create a building boom that serves as a stimulus for our economy and put thousands of middle-class Americans to work revitalizing our nations infrastructure.,CA,CB,,,CA
Lets give our supply chains the energy they need by ensuring we have the fuel to revive our economy post-COVID-19 and beyond.,CA,,,,CA
More than half of Alaskas revenue is generated by the oil and gas industry. Join todayprotect our states economy!,CA,CB,,,CA
"Want to help us protect Alaska's jobs, economy and future? You can by liking OneALASKA and learning more about what we stand for.",CA,CB,,,CA
Ongoing projects at MHIC are helping to revitalize Pennsylvania communities. Committed2PA,CA,,,,CA
"Tactical and Incidence Response Training makes a difference to local first responders like Julian, whose first priority is protecting his community.",CA,,,,CA
Energy production creates Louisiana jobs and a stronger economy. Stay up to date with all things energy by signing up below.,CA,CB,,,CA
The Leidy South project will generate $39M in economic activity to benefit Schuylkill county and $100M across PA. Find out more in the economic impact report:,CA,,,,CA
"The growth of the oil and natural gas industry is giving New Mexico unprecedented opportunities to invest in the future of our state. The benefits of an educated, homegrown, skilled workforce cannot be overstated!",CA,,,,CA
"We live and work here in Weld County, and we give back to our neighbors because caring is one of our core values.",CA,,,,CA
"Salute our Dallas HealthcareHeroes Energy Transfer will donate $50 to Parkland Foundations Public Health Preparedness Fund, up to a total of $100k, for each video expressing thanks to a healthcare professional in your life, to Parkland Hospital, or to the Dallas healthcare community working on the frontlines against the COVID-19 pandemic.",CA,,,,CA
"Tell Gov. Polis to say NO to harmful regulations that would hurt oil and gas production, the states economy and working families. Take action today!",CA,CB,,,CA
Lets give our supply chains the energy they need by ensuring we have the fuel to revive our economy post-COVID and beyond.,CA,,,,CA
The Marcus Hook Industrial Complex is fueling Delco's economic prosperity.,CA,CB,,,CA
"This is Brian, he works at Extraction Oil & Gas, a company committed to responsible energy development in their community. EnergyForProgress",CA,CB,,,CA
"It wont just be our economy that suffers from another ban, it will be our schools, our military, and our coasts. Learn more here:",CA,,,,CA
Energy production creates Louisiana jobs and a stronger economy. Stay up to date with all things energy by signing up below.,CA,CB,,,CB
Williams Rocky Mountain Midstream employs 160 Coloradans with good-paying jobs across the Front Range.,CB,,,,CB
"Want to help us protect Alaska's jobs, economy and future? You can by liking OneALASKA and learning more about what we stand for.",CA,CB,,,CB
"Alaska's small businesses depend on a stable economy, and with current challenges already impacting that, now is not the time to raise taxes on the oil industry or any business. Higher taxes will put our economy and jobs even more at risk.",CA,CB,,,CB
"Pipelines are good for the Texas economy and have a 99.999% safety record. Sign the pledge, support the Permian Highway Pipeline.",CA,CB,PA,,CB
"Local California oil & gas production creates over 55,000 good-paying jobs.",CB,,,,CB
[N]atural gas infrastructure projects like Leidy South can provide a significant boost to our local economy.[]Williams has a long history of operations in Pennsylvania and we are pleased to see the company continuing to invest in our region. - Columbia Montour Chamber of Commerce President Fred Gaffney.,CA,CB,,,CB
"El petrleo y gas natural de Texas brinda independencia energtica, una economa fuerte, y empleos bien remunerados. El Nuevo Acuerdo Verde (The New Green Deal) dejara sin empleo a muchos Tejanos.",CA,CB,SA,,CB
"California oil & gas creates over 55,000 good-paying jobs in the Central Valley. Forcing oil & gas production out of the state would disproportionately hurt this region.",CB,,,,CB
"A new energy analysis shows that natgas companies add value to our economy in several ways, from providing affordable and efficient energy to supporting local economies and job creation.",CA,CB,PA,,CB
"Under a natural gas and oil leasing and development ban, U.S. GDP would decline by a cumulative $700 billion through 2030 and nearly 1 million industry jobs would be lost by 2022.",CA,CB,,,CB
"Natural gas and oil companies are preparing for future growth and innovation by investing in a resilient workforce of scientists, engineers, skilled laborers and other increasingly sought-after careers. But some lawmakers are trying to stop this progress. EnergyConversations",CB,GC,,,CB
Lets protect Michigan waterways. Lets build the GreatLakesTunnel.,PA,CB,,,CB
"Matt Tomter of Matanuska Brewing Co. knows small businesses rely on a stable economy. That's why he believes now is not the time to raise taxes on the oil industry or any business, and why he's voting no on 1.",CA,CB,,,CB
Wink to Webster pipeline will create jobs and help boost the local economy.,CA,CB,,,CB
"ANSEP provides opportunities for Alaska Native students to pursue careers in science and engineering in Alaska. By voting No on Ballot Measure 1, we can ensure the industry will be able to continue supplying jobs for these students for generations to come.",CA,CB,,,CB
Alaska's oil and gas industry is our state's single largest economic engine. Watch this bite-sized video to learn how direct oil and gas industry jobs ripple throughout the Last Frontier.,CA,CB,,,CB
Restricting access to natural resources on federal lands and waters threatens the millions of jobs made possible by natural gas and oil.,CB,,,,CB
2020 has been a disaster for Alaska. Let's turn the page on 2020 by Voting No on 1.,CA,CB,,,CB
Natural gas and oil play an important role in North Dakotas economy. Jobs are important and so is protecting our environment. Thats why we are responsibly delivering energy while supporting economic development. We dont have to choose between protecting jobs or the environment; we can have both.,CA,CB,,,CB
"Pipelines help create jobs in many different industries, helping Americans support their families.",CB,,,,CB
"Genevieve Bell of Flowline Alaska is all about taking care of her employees, and she believes now is not the time to raise taxes on the oil industry or any business, as that will just put our economy and jobs even more at risk.",CA,CB,,,CB
Energy production creates Texas jobs and a stronger economy. Stay up to date with all things energy by signing up below.,CA,CB,,,CB
Restricting local oil and gas production would hurt the Central Valleys way of life through job loss and lower tax revenues for vital public services.,CA,CB,,,CB
Shutting down local oil and gas production would force us to increase reliance on unstable foreign oil.,CB,SA,,,CB
Oil and gas are the backbone of our economy. Learn how American oil and gas benefit your community!,CA,CB,,,CB
"In times like these, every job and dollar counts more than ever. Protect thousands of local oil & gas jobs that provide billions in state revenue for schools and first responders.",CA,CB,,,CB
"The GreatLakesTunnel means Michigan jobs jobs building the tunnel, jobs up North, and jobs across the lower peninsula.",CB,,,,CB
"This is Brian, he works at Extraction Oil & Gas, a company committed to responsible energy development in their community. SOAE2020 EnergyForProgress",CA,CB,,,CB
"The oil and natural gas industry provides more than 100,000 jobs for New Mexicans! ADD YOUR NAME if you're a proud supporter of the industry!",CB,,,,CB
Energy production creates Colorado jobs and a stronger economy. Stay up to date with all things energy by signing up below.,CA,CB,,,CB
"A federal leasing ban could cause a ripple effect hindering economic growth, costing American jobs and harming American families. Join us in fighting for Americas economic recovery.",CA,CB,,,CB
"Americans deserve a reliable, abundant energy source. See how the abundant supply of natural gas in America plays a critical role in energy security, strengthening the economy, creating jobs and more:",PA,CB,CA,,CB
Alaskas North Slope development keeps jobs and the economy strong. But without this continued investment? It could mean fewer jobs and a stagnant economy. Join us and take a stand.,CA,CB,,,CB
Good-paying jobs are fueled by Americas oil and gas industry. Join todaysupport energy production!,CB,SA,,,CB
"Ballot Measure 1 is opposed by a broad coalition of Alaskans, including U.S. Senator Lisa Murkowski, who recognize the risk that it holds to Alaska's future and our jobs. Join Murkowski in Voting No on 1 on November 3rd.",CB,,,,CB
"Alaskans deserve the truth about Ballot Measure 1. Don't be fooled, because it's bad for jobs and bad for our economy. Vote No on 1 on November 3rd.",CA,CB,,,CB
"Texas oil and natural gas delivers energy independence, economic strength and high-paying jobs. The Green New Deal would put Texans out of work.",CA,CB,SA,,CB
Fracking in Colorado is about more than just energy development or turning on a light switch. Its about supporting hundreds of thousands of jobs and billions of dollars in economic impact that touches every household in the state.,CA,CB,,,CB
Increasing production taxes up to 300% makes Alaska less competitive and puts jobs in jeopardy.,CA,CB,,,CB
"New Mexicos oil and natural gas industry powers our economy. Not only does the industry support thousands of jobs, it also provides funding for priorities like education, infrastructure, and healthcare. A fracking ban would put all of that in jeopardy.",CA,CB,,,CB
Growing jobs AND the economy with Mariner East. Follow us to learn more! Committed2PA,CB,,,,CB
"New Mexicos rig count is currently at 113. These rigs mean more jobs for New Mexicans and more funding for our schools, infrastructure, and first responders!",CB,CA,,,CB
LIKE OneALASKA if you support jobs for Alaskans!,CB,,,,CB
Extreme environmental policies could threaten more than 10 million good-paying jobs in communities across America.,CB,,,,CB
Alaskas North Slope energy renaissance is promoting economic growth with minimal impacts to the environment and subsistence resources. Were exploring and finding new oil while creating jobs for Alaskans and a thriving economy for decades to come. Together we can protect Alaskan jobs.,CA,CB,,,CB
"A healthy oil industry supports jobs now and for the next generation, and ballot measure 1 puts Alaska's future in danger. That's why David Evans is voting no on 1 on November 3rd.",CA,CB,,,CB
"Local oil and gas production helps provide over 55,000 jobs for Californians.",CB,,,,CB
Energy production creates North Dakota jobs and a stronger economy. Stay up to date with all things energy by signing up below.,CA,CB,,,CB
Thousands of Alaskan jobs are supported by the oil and gas industry. Join todayprotect local energy jobs!,CB,,,,CB
Build the GreatLakesTunnel to protect local tax investment in counties and communities across Michigan.,CA,CB,,,CB
Mariner East supports local labor unions by working with skilled union craftsmen & women.,CB,,,,CB
"A ban on federal leases could threaten American energy security, derailing U.S. progress and forcing us to rely on foreign sources. Lets keep American energy jobs.",SA,CB,,,CB
"From the Williams family to yours, Happy Independence Day!",CB,PA,GC,SA,CB
Energy production creates Illinois jobs and a stronger economy. Stay up to date with all things energy by signing up below.,CA,CB,,,CB
LIKE if you support Alaska oil & gas jobs!,CB,,,,CB
"COVID-19 knocked us down, but it never knocked Michigan out. The GreatLakesTunnel will create jobs, protect tens-of-thousands more, and build Michigans energy future. The Tunnel makes Michigan stronger than ever.",CA,CB,,,CB
The Leidy South project will support 680 jobs and $100M in economic activity in Luzerne and Schuykill counties.,CA,CB,,,CB
Natual gas production isn't just helping heat homes. It's also helping bring growth and jobs to other industries in Pennsylvania. Learn more about these local PA business owners,PA,CA,CB,,CB
"America's energy revolution helped power Eau Claire, Wisconsin's economic transformation. Innovations in fracking that unlocked vast, energy-rich shale reserves generated a corresponding demand for Wisconsin sand, some of the best for use in fracking. EnergyForProgress",CB,,,,CB
We are committed to safe operations and construction of Mariner East at all times.,PA,CB,,,CB
"Pipeline projects like Wink to Webster help provide stability to the regional economy by delivering investment dollars, jobs and tax revenues during oil industry cycles. Another of the hidden benefits of our underground infrastructure.",CA,CB,,,CB
"During a recent visit to the Permian Basin, President Trump recognized New Mexicos oil and natural gas industry for supporting thousands of jobs.",CB,,,,CB
"The oil and gas industry supports millions of local jobs. Ineffective, unnecessary regulations can stand in the way. Support local jobs by taking action today!",CB,,,,CB
"Natural gas and oil is empowering a Western Pennsylvania comeback story. Despite its up-and-down past, the region is experiencing significant job growth thanks to a decade of natural gas & oil development in the region - as well as the broader economic benefits of abundant domestic energy. EnergyForProgress",CA,CB,,,CB
"Consider the facts about Alaska and the impact the oil and gas industry has on the state. When you do, it becomes clear: the industry is important to Alaska and Alaskans.",CA,CB,,,CB
"Were invested in renewable energy. Our Bemidji office is powered by solar energy, as part of a partnership between Enbridge & Native American-owned businesses.",GA,CB,,,CB
"Lets protect Michigan lakes, jobs and paychecks. Lets build the GreatLakesTunnel.",PA,CB,,,CB
Energy production creates Ohio jobs and a stronger economy. Stay up to date with all things energy by signing up below.,CA,CB,,,CB
Energy production creates Pennsylvania jobs and a stronger economy. Stay up to date with all things energy by signing up below.,CA,CB,,,CB
"California oil and gas workers like Josh value a clean environment, safe working conditions, and protecting human rights. Shutting down existing local production would put his job and thousands more at risk.",CB,SA,,,CB
Skilled workers are committed to safe operations and construction of Mariner East at all times.,PA,CB,,,CB
"Now is not the time for Ventura County to reject the local oil & gas industry supplying 2,100 high-paying jobs and $21 million annually in tax revenues that fund vital community services like schools, education and public safety.",CA,CB,,,CB
"Leaders from the Fairbanks area all agree: Ballot Measure 1 would be harmful to our state, which is why they're Voting No on 1.",CB,,,,CB
Local oil and gas workers help Californians get through difficult times by powering vital community services like hospitals and emergency response.,PA,CB,,,CB
Oil and gas are the backbone of our economy. Learn how American oil and gas benefit Pennsylvania families and our communities!,CA,CB,,,CB
"Ballot Measure 1 is opposed by a broad coalition of Alaskans, including U.S. Senator Lisa Murkowski, who recognize the risk that it holds to Alaska's future and our jobs. Join Murkowski in Voting No on 1.",CB,,,,CB
"Approximately 840,000 American jobs are supported by offshore drilling and exploration.",CB,,,,CB
The oil and gas industry accounts for one-quarter of Alaska jobs. Learn more here!,CB,,,,CB
Supporting local oil and gas provides local jobs. Learn how American oil and gas benefit your community!,CB,,,,CB
"Instead of helping families, jobs and small businesses, Ballot Measure 1 will give politicians a blank check with no guarantee of results. It's the wrong plan at the wrong time. Make sure to vote no on 1 on November 3rd.",CA,CB,,,CB
"A nationwide ban on natural gas and oil leasing and development could reverse progress toward U.S. energy security, threaten Americas economic growth and cut nearly a million jobs.",PA,CA,CB,,CB
"Homes and businesses throughout Virginia save more than $1,000 annually in energy costs thanks to innovation in natural gas and oil production that have helped to stabilize energy prices and support the areas workforce. EnergyForProgress",PA,CB,,,CB
"For an Alaska business like Saltwater Safari, having a stable oil industry is vital to success. That's one of the many reasons Captain Bob Candopolous is going to Vote No on One.",CA,CB,,,CB
"Matt Tomter of Matanuska Brewing Co. knows small businesses rely on a stable economy. That's why he believes now is not the time to raise taxes on the oil industry or any business, as that will just put our economy and jobs even more at risk.",CA,CB,,,CB
"During COVID, Americans experienced product shortages on things made overseas. With better access to affordable energy, U.S. companies can look to create jobs here at home and re-shore our supply chains.",CB,PA,,,CB
"STEER Executive Director Stephanie Moreno writes in Mysoutex that ""Comments from people across the country about the oil and natural gas industry show a striking disconnect from what we know to be true as people who live, work and raise families alongside pumpjacks.""",GA,CA,,,GA
"What does it take to reduce emissions? Tech, better processes, and smart people like Chevrons manager of carbon reduction. Learn how:",GA,,,,GA
