id,construct,dimension,dimension_description,indicator,text
syn_0404,School burnout,Sense of inadequacy at school,Diminished confidence in one's academic abilities and lowered self-expectations,lower expectations for one's schoolwork than before,"I don't compete for grades like I used to. Where I once wanted to be top of the class, I now look at the syllabus and think, 'If I get a D, that's fine.' My standards have fallen, and I'm not even mad about it anymore."
syn_0420,School burnout,Sense of inadequacy at school,Diminished confidence in one's academic abilities and lowered self-expectations,lower expectations for one's schoolwork than before,I used to get upset over a 89%. Now I'm relieved with a 70%. That change in what I consider acceptable shows how much I've lowered my standards. I don't expect brilliance from myself anymore—just survival.
syn_0409,School burnout,Sense of inadequacy at school,Diminished confidence in one's academic abilities and lowered self-expectations,lower expectations for one's schoolwork than before,"In my journal last year, I wrote about becoming a valedictorian. Today, I wrote that I'd be okay with graduation. That shift—from lofty dreams to basic survival—shows how much I've reduced my academic expectations for myself."
syn_0004,School burnout,Exhaustion at school,Feelings of emotional and physical depletion caused by school demands,overwhelmed by schoolwork,Trying to keep up with all my classes is like trying to drink from a fire hose. There's just no way to process it all. My head is so full of due dates and reading lists I can't hear my own thoughts.
syn_0024,School burnout,Exhaustion at school,Feelings of emotional and physical depletion caused by school demands,overwhelmed by schoolwork,I get anxiety just opening my backpack. The number of textbooks and binders is a visual representation of how much I have to do. It's overwhelming.
syn_0017,School burnout,Exhaustion at school,Feelings of emotional and physical depletion caused by school demands,overwhelmed by schoolwork,"The workload isn't just hard; it's massive. I feel like I'm carrying a boulder up a hill. Every step is a struggle, and the hill keeps getting longer."
syn_0025,School burnout,Exhaustion at school,Feelings of emotional and physical depletion caused by school demands,overwhelmed by schoolwork,I used to love learning. Now it just feels like a relentless series of obligations. The volume of work has killed any joy I had.
syn_0033,School burnout,Exhaustion at school,Feelings of emotional and physical depletion caused by school demands,overwhelmed by schoolwork,I've stopped making plans. What's the point? I'll just have to cancel because I'll be buried in schoolwork. It's easier to just accept I'm not available.
syn_0038,School burnout,Exhaustion at school,Feelings of emotional and physical depletion caused by school demands,overwhelmed by schoolwork,"It's the small things that get me. Another reading to add to the list. Another problem set. They seem tiny alone, but together they're a tsunami."
syn_0000,School burnout,Exhaustion at school,Feelings of emotional and physical depletion caused by school demands,overwhelmed by schoolwork,"I just stared at my planner for twenty minutes. Between the history paper, chem lab, and two chapters of math, my brain just shut off. I don't even know where to start, and the pile of stuff just feels like it's going to swallow me whole."
syn_0011,School burnout,Exhaustion at school,Feelings of emotional and physical depletion caused by school demands,overwhelmed by schoolwork,I'm falling behind in everything. It's not that I don't want to do it; I look at the total workload and just feel a massive wave of defeat before I even start.
syn_0040,School burnout,Exhaustion at school,Feelings of emotional and physical depletion caused by school demands,overwhelmed by schoolwork,There's no 'later.' Later is just when more things are due. I feel like I'm perpetually catching a falling knife. It's exhausting.
syn_0046,School burnout,Exhaustion at school,Feelings of emotional and physical depletion caused by school demands,overwhelmed by schoolwork,"I'm surviving, not thriving. My entire existence revolves around school to-do lists. There's no part of my day that isn't touched by the workload."
syn_0014,School burnout,Exhaustion at school,Feelings of emotional and physical depletion caused by school demands,overwhelmed by schoolwork,"I'm not sleeping well because my mind won't stop going over all the things I need to do. It's a constant, low-grade panic about being buried in work."
syn_0034,School burnout,Exhaustion at school,Feelings of emotional and physical depletion caused by school demands,overwhelmed by schoolwork,My motivation is dead because the task list is endless. Why start one thing when five others are screaming for attention? It's a recipe for paralysis.
syn_0037,School burnout,Exhaustion at school,Feelings of emotional and physical depletion caused by school demands,overwhelmed by schoolwork,"I'm tired all the time, but it's a mental tiredness. My body is fine; my mind is exhausted from the constant processing of academic demands."
syn_0045,School burnout,Exhaustion at school,Feelings of emotional and physical depletion caused by school demands,overwhelmed by schoolwork,"The pressure isn't about one big exam. It's the quiet, daily grind of assignment after assignment piling up. That's what wears me down."
syn_0005,School burnout,Exhaustion at school,Feelings of emotional and physical depletion caused by school demands,overwhelmed by schoolwork,"I sat down to study for one test and realized I have a project, a quiz, and a paper all in the same week. The stress is physical. My chest feels tight just looking at my syllabus."
syn_0031,School burnout,Exhaustion at school,Feelings of emotional and physical depletion caused by school demands,overwhelmed by schoolwork,I'm starting to hand in late work because I can't physically do it all on time. It's not a choice; it's a math problem where the required hours exceed the available hours.
syn_0027,School burnout,Exhaustion at school,Feelings of emotional and physical depletion caused by school demands,overwhelmed by schoolwork,"I'm just plodding through. There's no enthusiasm, just a grim determination to survive the next deadline. The workload is a constant fog."
syn_0044,School burnout,Exhaustion at school,Feelings of emotional and physical depletion caused by school demands,overwhelmed by schoolwork,I feel like I'm failing at life management because schoolwork takes up all the cognitive bandwidth. Planning a meal feels complicated when your mind is full of deadlines.
syn_0003,School burnout,Exhaustion at school,Feelings of emotional and physical depletion caused by school demands,overwhelmed by schoolwork,I feel like I'm constantly running on a treadmill that's getting faster. New homework gets added before I finish the old pile. I'm tired before the day even begins.
syn_0035,School burnout,Exhaustion at school,Feelings of emotional and physical depletion caused by school demands,overwhelmed by schoolwork,"I feel like I'm on a conveyor belt. Work comes, I do it, more comes. There's no pause button. The relentless pace is exhausting."
syn_0020,School burnout,Exhaustion at school,Feelings of emotional and physical depletion caused by school demands,overwhelmed by schoolwork,I've started to zone out in class just thinking about all the work waiting for me. It's hard to pay attention when your mind is drowning in a to-do list.
syn_0028,School burnout,Exhaustion at school,Feelings of emotional and physical depletion caused by school demands,overwhelmed by schoolwork,The teachers don't seem to coordinate. It's like they think their class is the only one we have. The resulting pile is impossible to manage.
syn_0002,School burnout,Exhaustion at school,Feelings of emotional and physical depletion caused by school demands,overwhelmed by schoolwork,"It's 1 AM and I'm still working. I've been at this essay for four hours. Every time I finish a paragraph, two more tasks pop into my head. I'm just drowning in deadlines."
syn_0032,School burnout,Exhaustion at school,Feelings of emotional and physical depletion caused by school demands,overwhelmed by schoolwork,"The stress isn't about failing. It's about the constant, grinding pressure of the volume. It's a weight on my shoulders that never lifts."
syn_0022,School burnout,Exhaustion at school,Feelings of emotional and physical depletion caused by school demands,overwhelmed by schoolwork,I feel like I'm failing at everything because I can't give any one subject the attention it needs. I'm spread so thin I'm transparent.
syn_0026,School burnout,Exhaustion at school,Feelings of emotional and physical depletion caused by school demands,overwhelmed by schoolwork,"My energy is completely tapped by 3 PM. Not from the day's activities, but from the mental load of knowing what's still left to do."
syn_0012,School burnout,Exhaustion at school,Feelings of emotional and physical depletion caused by school demands,overwhelmed by schoolwork,"I used to be organized. Now I just have a messy list of everything I'm not doing. The backlog is huge, and it feels impossible to catch up. It's suffocating."
syn_0021,School burnout,Exhaustion at school,Feelings of emotional and physical depletion caused by school demands,overwhelmed by schoolwork,The expectations are so high. Every class feels like a full-time job on its own. Putting them all together is just unsustainable.
syn_0018,School burnout,Exhaustion at school,Feelings of emotional and physical depletion caused by school demands,overwhelmed by schoolwork,"I'm just so tired of feeling like I'm always behind. No matter how much I do, it's never enough. The pressure is relentless."
syn_0047,School burnout,Exhaustion at school,Feelings of emotional and physical depletion caused by school demands,overwhelmed by schoolwork,I look at my friends in other majors and they seem to have free time. My field feels like a 24/7 responsibility. The workload is a beast I can't tame.
syn_0048,School burnout,Exhaustion at school,Feelings of emotional and physical depletion caused by school demands,overwhelmed by schoolwork,My to-do list is longer than my arm. I've stopped writing it down because seeing it all in one place makes me feel panicky and defeated.
syn_0049,School burnout,Exhaustion at school,Feelings of emotional and physical depletion caused by school demands,overwhelmed by schoolwork,"It's the feeling of being stuck in quicksand made of papers and projects. I struggle, but I just sink deeper into the pile of work."
syn_0006,School burnout,Exhaustion at school,Feelings of emotional and physical depletion caused by school demands,overwhelmed by schoolwork,"My backpack weighs a ton, and so does my mind. Every class adds more. I'm not lazy; I'm just buried. I don't know how to dig myself out."
syn_0019,School burnout,Exhaustion at school,Feelings of emotional and physical depletion caused by school demands,overwhelmed by schoolwork,"My desk is covered in half-finished assignments from different classes. I jump between them, never completing anything fully because there's always something else. It's chaotic and exhausting."
syn_0041,School burnout,Exhaustion at school,Feelings of emotional and physical depletion caused by school demands,overwhelmed by schoolwork,My study techniques don't work anymore because the volume is too high. Efficient effort is still not enough hours. I'm just overwhelmed by the scale of it.
syn_0043,School burnout,Exhaustion at school,Feelings of emotional and physical depletion caused by school demands,overwhelmed by schoolwork,The constant switching between subjects is draining. My brain never gets into a flow state because it's always context-switching to meet the next demand.
syn_0010,School burnout,Exhaustion at school,Feelings of emotional and physical depletion caused by school demands,overwhelmed by schoolwork,My brain feels like a browser with too many tabs open. I can't focus on anything. The sheer amount of work is paralyzing.
syn_0023,School burnout,Exhaustion at school,Feelings of emotional and physical depletion caused by school demands,overwhelmed by schoolwork,My weekends are no longer for rest. They're for catching up on the mountain of work that built up during the week. It's a vicious cycle.
syn_0016,School burnout,Exhaustion at school,Feelings of emotional and physical depletion caused by school demands,overwhelmed by schoolwork,I look at my weekly schedule and just sigh. It's packed from morning until night with academic obligations. There's no breathing room.
syn_0029,School burnout,Exhaustion at school,Feelings of emotional and physical depletion caused by school demands,overwhelmed by schoolwork,"I'm emotionally drained not from the difficulty, but from the sheer quantity. It's not a puzzle to solve; it's a quota to meet. And I'm drowning."
syn_0013,School burnout,Exhaustion at school,Feelings of emotional and physical depletion caused by school demands,overwhelmed by schoolwork,"Between AP classes and the job, my schoolwork is this monstrous thing that follows me everywhere. I can't relax because it's always there, waiting."
syn_0036,School burnout,Exhaustion at school,Feelings of emotional and physical depletion caused by school demands,overwhelmed by schoolwork,"The coursework has blurred together. It's not distinct subjects anymore; it's one big, amorphous blob of 'stuff to do.' I can't even separate it in my mind."
syn_0007,School burnout,Exhaustion at school,Feelings of emotional and physical depletion caused by school demands,overwhelmed by schoolwork,"I skipped lunch to try and get ahead. By the time I finished one assignment, three more had been posted. It's a never-ending cycle that I can't escape."
syn_0042,School burnout,Exhaustion at school,Feelings of emotional and physical depletion caused by school demands,overwhelmed by schoolwork,I'm not procrastinating because I'm lazy. I'm freezing because the totality of the work feels so huge that I can't even begin. It's a form of overwhelm.
syn_0030,School burnout,Exhaustion at school,Feelings of emotional and physical depletion caused by school demands,overwhelmed by schoolwork,I look at the week ahead and see nothing but assignments. There's no space for anything else. My personal life is on hold because schoolwork consumes everything.
syn_0008,School burnout,Exhaustion at school,Feelings of emotional and physical depletion caused by school demands,overwhelmed by schoolwork,"The list never gets shorter. I cross one thing off and two more appear. I'm just going through the motions, completely swamped by everything they expect us to do."
syn_0015,School burnout,Exhaustion at school,Feelings of emotional and physical depletion caused by school demands,overwhelmed by schoolwork,Trying to manage my time feels useless. There are simply not enough hours in the day for what they assign. I'm perpetually behind.
syn_0009,School burnout,Exhaustion at school,Feelings of emotional and physical depletion caused by school demands,overwhelmed by schoolwork,"I had a breakdown last night because I couldn't figure out which assignment to tackle first. There's no hierarchy, it's just chaos. The volume is crushing."
syn_0039,School burnout,Exhaustion at school,Feelings of emotional and physical depletion caused by school demands,overwhelmed by schoolwork,I've started to resent my textbooks. They're not tools; they're monuments to all the things I haven't mastered yet. The stack is a reminder of my overwhelm.
syn_0001,School burnout,Exhaustion at school,Feelings of emotional and physical depletion caused by school demands,overwhelmed by schoolwork,"My friends asked if I wanted to go into town, but I had to say no. I have three assignments due tomorrow that I haven't even started. The weight of it all is just too much to think about leaving my desk."
syn_0066,School burnout,Exhaustion at school,Feelings of emotional and physical depletion caused by school demands,poor sleep due to schoolwork,"I've started drinking coffee at 10 PM just to stay awake long enough to finish the chapter. It's a terrible habit, but if I don't, I'll fall behind. The irony is I'm so wired I can't sleep after, anyway."
syn_0053,School burnout,Exhaustion at school,Feelings of emotional and physical depletion caused by school demands,poor sleep due to schoolwork,"I don't remember the last time I slept through the night. Every time I close my eyes, I see the list of overdue assignments. I'm starting to think my bed is just another place to stress about school."
syn_0052,School burnout,Exhaustion at school,Feelings of emotional and physical depletion caused by school demands,poor sleep due to schoolwork,"My sleep schedule is completely ruined. I keep waking up at 2 AM worried about the lab report I haven't started. By the time I fall back asleep, it's almost time to get up for school. I feel like a zombie."
syn_0094,School burnout,Exhaustion at school,Feelings of emotional and physical depletion caused by school demands,poor sleep due to schoolwork,"I count the hours of sleep I get like a miser counts coins. Four here, three there. It's never enough to meet the minimum. The deficit is massive and growing, and I have no plan to repay it."
syn_0088,School burnout,Exhaustion at school,Feelings of emotional and physical depletion caused by school demands,poor sleep due to schoolwork,"My bed is my desk, my desk is my bed. The lines are blurred. I do my work under the covers with a flashlight because the house is quiet. There's no separation between rest and labor."
syn_0051,School burnout,Exhaustion at school,Feelings of emotional and physical depletion caused by school demands,poor sleep due to schoolwork,"The essay deadline is Friday and I have two more chapters to read. I was up until 3 AM trying to finish it, and now I can barely keep my eyes open in history. This cycle of no sleep then panic is just endless."
syn_0058,School burnout,Exhaustion at school,Feelings of emotional and physical depletion caused by school demands,poor sleep due to schoolwork,"Last night I stared at the ceiling for two hours, mentally outlining my English essay. I finally gave up and got up at 4 to write it. I feel like I'm running on empty and the tank has a giant hole in it."
syn_0099,School burnout,Exhaustion at school,Feelings of emotional and physical depletion caused by school demands,poor sleep due to schoolwork,"The most basic function—sleep—is completely hijacked. My own mind is the enemy, refusing to shut off. I'm at war with my thoughts, and the battlefield is my bed. I'm losing, and the collateral damage is my health."
syn_0075,School burnout,Exhaustion at school,Feelings of emotional and physical depletion caused by school demands,poor sleep due to schoolwork,"The stress is a physical weight on my chest, especially at night. I can't relax because I'm mentally running through flashcards. Sleep isn't restful; it's just a pause between study sessions."
syn_0096,School burnout,Exhaustion at school,Feelings of emotional and physical depletion caused by school demands,poor sleep due to schoolwork,"I'm not lazy. I'm exhausted. There's a difference. Laziness is a choice. This is a forced state of being. I want to sleep, but the work won't let me. So I soldier on, becoming less and less effective."
syn_0063,School burnout,Exhaustion at school,Feelings of emotional and physical depletion caused by school demands,poor sleep due to schoolwork,"I was up until 5 AM studying for my physics final. I know I should have started weeks ago, but between all the other classes, there just weren't enough hours. Now I'm too tired to even be nervous for the test."
syn_0076,School burnout,Exhaustion at school,Feelings of emotional and physical depletion caused by school demands,poor sleep due to schoolwork,"My teacher gave us a weekend assignment on Friday. That's a guarantee of a sleepless weekend. I'll be up Saturday night finishing it, then Sunday night stressing about the week ahead. No break. Ever."
syn_0054,School burnout,Exhaustion at school,Feelings of emotional and physical depletion caused by school demands,poor sleep due to schoolwork,"The pressure to get into a good college means I cram until dawn most nights. My body is exhausted, but my mind is stuck on calculus problems. I drag myself to first period, and it's a miracle I don't fall asleep."
syn_0072,School burnout,Exhaustion at school,Feelings of emotional and physical depletion caused by school demands,poor sleep due to schoolwork,"I've started taking melatonin every night just to force myself to close my eyes. But even then, my thoughts are on the Spanish verbs I need to memorize. My sleep is not my own; it belongs to the curriculum."
syn_0081,School burnout,Exhaustion at school,Feelings of emotional and physical depletion caused by school demands,poor sleep due to schoolwork,"There's no such thing as 'me time' anymore. That time is stolen by homework. The only time I have to myself is when I should be sleeping, and even then, schoolwork invades my dreams. I have no sanctuary."
syn_0056,School burnout,Exhaustion at school,Feelings of emotional and physical depletion caused by school demands,poor sleep due to schoolwork,"It's a vicious circle. I'm anxious about failing, so I study late. Then I'm too tired to absorb anything the next day, so I have to study even more. My sleep is the first thing to go, and it's never coming back."
syn_0086,School burnout,Exhaustion at school,Feelings of emotional and physical depletion caused by school demands,poor sleep due to schoolwork,The weekend is not for recovery. It's for catching up on the work I couldn't do during the week because I was too exhausted from lack of sleep. It's a hamster wheel with no off switch.
syn_0082,School burnout,Exhaustion at school,Feelings of emotional and physical depletion caused by school demands,poor sleep due to schoolwork,I'm in a constant state of low-grade fever from exhaustion. My immune system is shot. I get a cold and it lasts a month because I won't stop pushing. Sleep is for people who don't have 4.0 GPAs to maintain.
syn_0073,School burnout,Exhaustion at school,Feelings of emotional and physical depletion caused by school demands,poor sleep due to schoolwork,"There's a direct link: massive project assigned = zero sleep that week. It's a predictable pattern. I know I should pace myself, but with five AP classes, pacing is a fantasy. Exhaustion is my baseline."
syn_0093,School burnout,Exhaustion at school,Feelings of emotional and physical depletion caused by school demands,poor sleep due to schoolwork,"My teacher said I looked 'out of it' in class. I was. I was mentally still at my desk from the night before, trying to solve that one last problem. My body was present, but my consciousness was home, working."
syn_0050,School burnout,Exhaustion at school,Feelings of emotional and physical depletion caused by school demands,poor sleep due to schoolwork,"I'm so tired all the time. I lie in bed for hours, my mind just racing with all the equations I need to memorize for tomorrow's test. It's like my brain won't shut off, and I end up getting maybe four hours of sleep again."
syn_0060,School burnout,Exhaustion at school,Feelings of emotional and physical depletion caused by school demands,poor sleep due to schoolwork,"I'm in my senior year and it feels like I haven't slept properly since freshman year. Every major assignment triggers a week of insomnia. I'm just going through the motions, too tired to even care about the 'fun' parts of school."
syn_0062,School burnout,Exhaustion at school,Feelings of emotional and physical depletion caused by school demands,poor sleep due to schoolwork,"I think my brain has associated my pillow with stress. The moment my head hits it, I start remembering all the homework I didn't finish. I need to break the cycle, but the workload never eases up."
