id,construct,dimension,dimension_description,indicator,text
syn_0360,School burnout,Sense of inadequacy at school,Diminished confidence in one's academic abilities and lowered self-expectations,feeling inadequate in schoolwork,"I used to be the one people asked for help. Now I'm the one asking, and even then, the explanations go over my head. My confidence has been slowly eroding, replaced by a quiet certainty that I don't belong here."
syn_0356,School burnout,Sense of inadequacy at school,Diminished confidence in one's academic abilities and lowered self-expectations,feeling inadequate in schoolwork,"My presentation today was a disaster. I stumbled over words, forgot my points, and my slides were weak. My group was polite, but I saw the disappointment. I'm the weak link, and it's only a matter of time before they stop including me."
syn_0359,School burnout,Sense of inadequacy at school,Diminished confidence in one's academic abilities and lowered self-expectations,feeling inadequate in schoolwork,"The lab report is due, and I've done none of the analysis. I collected the data, but the numbers mean nothing to me. I'll have to copy my partner's conclusions and pretend they're mine. Another piece of schoolwork where I'm faking it."
syn_0387,School burnout,Sense of inadequacy at school,Diminished confidence in one's academic abilities and lowered self-expectations,feeling inadequate in schoolwork,The internship application required a writing sample. I submitted my best work. The rejection email said 'we found other candidates whose writing better met our needs.' Translation: my writing isn't good enough. Not for real-world use.
syn_0372,School burnout,Sense of inadequacy at school,Diminished confidence in one's academic abilities and lowered self-expectations,feeling inadequate in schoolwork,"I used to love writing. Now every sentence feels like a chore. My essays are lifeless, my points obvious. My professor's comments say 'develop this further'—but I don't know how. The ideas aren't there to develop."
syn_0391,School burnout,Sense of inadequacy at school,Diminished confidence in one's academic abilities and lowered self-expectations,feeling inadequate in schoolwork,"I took detailed notes during lecture. I reviewed them. I made flashcards. I still failed the quiz. The information just doesn't stick. My memory is terrible, or my understanding is shallow. Probably both."
syn_0392,School burnout,Sense of inadequacy at school,Diminished confidence in one's academic abilities and lowered self-expectations,feeling inadequate in schoolwork,"My friend showed me his thesis chapter. It's dense, sophisticated, groundbreaking. Mine reads like a high school report. We're supposed to be peers. We're not. He's a scholar; I'm a student barely making it."
syn_0365,School burnout,Sense of inadequacy at school,Diminished confidence in one's academic abilities and lowered self-expectations,feeling inadequate in schoolwork,"The final project proposal is due. My team has a clear, innovative plan. My contribution is a few weak paragraphs I've rewritten five times. I'm holding them back. I should just tell them to do my part, because my best effort is their worst."
syn_0393,School burnout,Sense of inadequacy at school,Diminished confidence in one's academic abilities and lowered self-expectations,feeling inadequate in schoolwork,"The conference abstract deadline is here. I've written three versions, and they're all weak. The call for papers says 'innovative research.' My project isn't innovative. It's a small, shaky question with inconclusive data. Why am I even here?"
syn_0383,School burnout,Sense of inadequacy at school,Diminished confidence in one's academic abilities and lowered self-expectations,feeling inadequate in schoolwork,"My lab partner sighs every time we have to do data analysis. I know what he's thinking: why is he stuck with me? I try to contribute, but my stats knowledge is so shaky I'm more of a liability than a help."
syn_0395,School burnout,Sense of inadequacy at school,Diminished confidence in one's academic abilities and lowered self-expectations,feeling inadequate in schoolwork,"I can't even get the formatting right on this paper. The citations are inconsistent, the headings wrong. It's the easiest part, and I'm messing it up. It's like everything I touch turns to something slightly wrong, slightly inadequate."
syn_0358,School burnout,Sense of inadequacy at school,Diminished confidence in one's academic abilities and lowered self-expectations,feeling inadequate in schoolwork,"My parents keep asking about my grades, and I have to make excuses. 'The teacher is hard,' 'the class is tough.' The truth is, I'm not smart enough. They think I'm lazy, but the truth is worse: I'm just not capable."
syn_0399,School burnout,Sense of inadequacy at school,Diminished confidence in one's academic abilities and lowered self-expectations,feeling inadequate in schoolwork,"I look at my transcript and see a pattern of B's and C's. No stars, no honors, no distinction. Just a solid record of average performance. That's my legacy: the definition of adequate. But I don't feel adequate. I feel like a failure."
syn_0350,School burnout,Sense of inadequacy at school,Diminished confidence in one's academic abilities and lowered self-expectations,feeling inadequate in schoolwork,"I just got my test back and it's another average grade. I study so much, but it never seems to be enough. Everyone else seems to grasp things so quickly while I'm constantly struggling to keep up. I'm starting to think I'm just not cut out for this level of work."
syn_0263,School burnout,Cynicism toward the meaning of school,"Loss of meaning, interest, and motivation regarding school and schoolwork",loss of interest,"I used to have a favorite subject. Now, they all blend together into a grey blur of lectures and assignments. There's no spark, no 'aha' moment, no genuine curiosity. I'm just moving through the motions to get to the other side."
syn_0273,School burnout,Cynicism toward the meaning of school,"Loss of meaning, interest, and motivation regarding school and schoolwork",loss of interest,"I used to love the first day of school—new notebooks, new subjects. This year, I felt dread. Plain and simple. The shine is completely gone. I don't look forward to learning anything. It's all just a long, repetitive wait for summer."
syn_0290,School burnout,Cynicism toward the meaning of school,"Loss of meaning, interest, and motivation regarding school and schoolwork",loss of interest,"The school trip to the museum was optional. I chose not to go. Why would I? I'd just be looking at artifacts I don't care about, listening to a guide I can't focus on. My interest in the past, in artifacts, in stories—it's all evaporated."
syn_0297,School burnout,Cynicism toward the meaning of school,"Loss of meaning, interest, and motivation regarding school and schoolwork",loss of interest,"We're covering a topic in physics that's supposed to be mind-bending. I found it confusing, but I didn't feel the usual frustration that comes with confusion. I just felt... indifferent. I don't care if I understand it or not. That's new for me."
syn_0260,School burnout,Cynicism toward the meaning of school,"Loss of meaning, interest, and motivation regarding school and schoolwork",loss of interest,"We have a new unit on poetry. In another life, I would have been thrilled. Now, I can't even feign delight. I read the poems and feel... nothing. It's like my emotional connection to learning has been surgically removed."
syn_0296,School burnout,Cynicism toward the meaning of school,"Loss of meaning, interest, and motivation regarding school and schoolwork",loss of interest,"I have a free period. In the past, I'd use it to read or draw or think. Now, I just sit and zone out. I don't have the desire to fill that time with anything productive or enriching. My own intellectual needs feel like a burden."
syn_0262,School burnout,Cynicism toward the meaning of school,"Loss of meaning, interest, and motivation regarding school and schoolwork",loss of interest,My classmate was gushing about the documentary we watched in social studies. I just nodded. I didn't find it moving or eye-opening. It was just two periods of my day I can't get back. My sense of wonder has completely vanished.
syn_0295,School burnout,Cynicism toward the meaning of school,"Loss of meaning, interest, and motivation regarding school and schoolwork",loss of interest,"The professor gave an inspiring talk about the power of ideas. I clapped with everyone else. Inside, I felt nothing. No goosebumps, no inspiration, no sudden desire to change the world. The flame of idealism that once burned has been extinguished."
syn_0253,School burnout,Cynicism toward the meaning of school,"Loss of meaning, interest, and motivation regarding school and schoolwork",loss of interest,"It's weird. I used to read ahead in literature just for fun. Now, even the assigned books feel like a burden. I don't care about the characters or the themes anymore. I just want to get the reading done so I can forget about it."
syn_0278,School burnout,Cynicism toward the meaning of school,"Loss of meaning, interest, and motivation regarding school and schoolwork",loss of interest,"The guidance counselor asked about my passions. I had nothing to say. I used to have a list. Now, when I try to think of something I'm genuinely interested in that's related to school, my mind is a blank. It's eerie."
syn_0283,School burnout,Cynicism toward the meaning of school,"Loss of meaning, interest, and motivation regarding school and schoolwork",loss of interest,The teacher played a song from the era we're studying in history to set the mood. I didn't feel the mood. I felt the urge to check my watch. The connection between art and history that used to thrill me is completely severed.
syn_0271,School burnout,Cynicism toward the meaning of school,"Loss of meaning, interest, and motivation regarding school and schoolwork",loss of interest,"I got a B+ on a paper I put zero effort into. My old self would have been furious. Now, I just shrug. It doesn't matter. The grade is just a number. The subject doesn't matter. Nothing about this place seems to matter to me anymore."
syn_0219,School burnout,Cynicism toward the meaning of school,"Loss of meaning, interest, and motivation regarding school and schoolwork",low motivation / thoughts of giving up,My desk is a mess of half-finished worksheets. I start things with a tiny bit of energy and then the interest evaporates. Why finish something that won't change anything? The effort feels wasted before I even begin.
syn_0223,School burnout,Cynicism toward the meaning of school,"Loss of meaning, interest, and motivation regarding school and schoolwork",low motivation / thoughts of giving up,"I've started calling school 'the daily grind.' It's accurate. It's just something I have to get through. The idea of 'learning for learning's sake' is a joke here. It's all about the GPA, the transcript, the next step."
syn_0221,School burnout,Cynicism toward the meaning of school,"Loss of meaning, interest, and motivation regarding school and schoolwork",low motivation / thoughts of giving up,My friends are talking about colleges and I'm quietly panicking. I don't even want to go. The idea of more school is suffocating. But saying that out loud makes me seem like a failure.
syn_0203,School burnout,Cynicism toward the meaning of school,"Loss of meaning, interest, and motivation regarding school and schoolwork",low motivation / thoughts of giving up,"I used to get a rush from a good grade. Now, an A feels empty. I'm just collecting points to pass. The passion is completely gone. Sometimes I wonder if just quitting and getting a job would be more honest."
syn_0211,School burnout,Cynicism toward the meaning of school,"Loss of meaning, interest, and motivation regarding school and schoolwork",low motivation / thoughts of giving up,I used to love reading. Now I can't get through a chapter without checking my phone. School has killed my curiosity. I just do the minimum to get by and then zone out. What happened to wanting to understand things?
syn_0201,School burnout,Cynicism toward the meaning of school,"Loss of meaning, interest, and motivation regarding school and schoolwork",low motivation / thoughts of giving up,"My alarm goes off and my first thought is, 'Why bother?' Going through the motions feels so pointless. I'm just waiting for the bell to ring so I can go home and do nothing. Is this really all there is for the next four years?"
syn_0236,School burnout,Cynicism toward the meaning of school,"Loss of meaning, interest, and motivation regarding school and schoolwork",low motivation / thoughts of giving up,I don't look at the syllabus. I show up and try to guess what's important. It's like I'm a passive observer in my own education. The agency is gone. I don't own this experience anymore.
syn_0240,School burnout,Cynicism toward the meaning of school,"Loss of meaning, interest, and motivation regarding school and schoolwork",low motivation / thoughts of giving up,"I don't correct my mistakes on homework. Why bother? It's just a number in a gradebook. The process doesn't matter, only the outcome. So I gamble on doing enough to pass. It's a sad strategy."
syn_0206,School burnout,Cynicism toward the meaning of school,"Loss of meaning, interest, and motivation regarding school and schoolwork",low motivation / thoughts of giving up,"My notebook is full of doodles because I can't focus on the lecture. The teacher's voice is just background noise. I keep thinking, 'I could be doing something that actually matters.' School feels like a waste of my time."
syn_0238,School burnout,Cynicism toward the meaning of school,"Loss of meaning, interest, and motivation regarding school and schoolwork",low motivation / thoughts of giving up,I used to get excited about new topics. Now I see a new unit and just sigh. More things to memorize and forget. The cycle is endless and meaningless. I'm just a vessel for information.
syn_0427,School burnout,Sense of inadequacy at school,Diminished confidence in one's academic abilities and lowered self-expectations,lower expectations for one's schoolwork than before,My old diary is full of 'I will be a doctor.' Now I'm applying to undecided. I've lowered my expectations for my career path because I can't see myself excelling in anything. Schoolwork feels like a series of hurdles I'm not clearing.
syn_0440,School burnout,Sense of inadequacy at school,Diminished confidence in one's academic abilities and lowered self-expectations,lower expectations for one's schoolwork than before,"I don't ask for extensions anymore because I don't deserve them. My expectation is that my work will be subpar, so I turn it in early and bad. I've internalized that I'm not capable of better."
syn_0425,School burnout,Sense of inadequacy at school,Diminished confidence in one's academic abilities and lowered self-expectations,lower expectations for one's schoolwork than before,My college essay would have been about my passions. Now I'm writing about how I'm 'resilient' for getting through each day. My expectations for my own narrative have dropped from hero to survivor.
syn_0414,School burnout,Sense of inadequacy at school,Diminished confidence in one's academic abilities and lowered self-expectations,lower expectations for one's schoolwork than before,"I no longer dream of scholarships. I used to research them obsessively, but now I think, 'Why bother?' I've reduced my own standards to the point where I don't even apply for opportunities that require effort."
syn_0418,School burnout,Sense of inadequacy at school,Diminished confidence in one's academic abilities and lowered self-expectations,lower expectations for one's schoolwork than before,"In group projects, I never take the lead anymore. I've accepted that I'll do mediocre work. My expectation is to contribute just enough not to get yelled at. I've downgraded my role from star student to background extra."
syn_0436,School burnout,Sense of inadequacy at school,Diminished confidence in one's academic abilities and lowered self-expectations,lower expectations for one's schoolwork than before,"I used to be the first to answer in class. Now I sit in the back and hope I'm not called on. My expectation is to be average or below, so I don't participate. I've silenced my academic voice."
syn_0405,School burnout,Sense of inadequacy at school,Diminished confidence in one's academic abilities and lowered self-expectations,lower expectations for one's schoolwork than before,"After that brutal calculus exam, I changed my mindset. I no longer expect to understand everything. Now my goal is just to pass the course. I've downgraded my academic hopes, and it's oddly peaceful, but also a bit empty."
syn_0403,School burnout,Sense of inadequacy at school,Diminished confidence in one's academic abilities and lowered self-expectations,lower expectations for one's schoolwork than before,"My teacher said I'm capable of more, but I've stopped trying. I've quietly lowered what I expect from my projects. Instead of researching deeply, I do the bare minimum. It's easier this way, but I know I'm settling for way less."
syn_0401,School burnout,Sense of inadequacy at school,Diminished confidence in one's academic abilities and lowered self-expectations,lower expectations for one's schoolwork than before,"During parent-teacher conferences, my mom asked why I'm not aiming for honors. I told her I've adjusted my standards. I don't expect A's anymore; I'm just hoping to scrape by with C's. It's less pressure, but it feels like I'm giving up on myself."
syn_0446,School burnout,Sense of inadequacy at school,Diminished confidence in one's academic abilities and lowered self-expectations,lower expectations for one's schoolwork than before,"I used to stay after school for extra help. Now I leave as soon as the bell rings. My expectation is that I won't understand, so why bother? I've lowered my academic curiosity to zero."
syn_0422,School burnout,Sense of inadequacy at school,Diminished confidence in one's academic abilities and lowered self-expectations,lower expectations for one's schoolwork than before,"I don't bother with extra reading anymore. Why would I? I've already lowered my expectations for my own knowledge. If the test covers only the slides, that's all I'll learn. My curiosity has been replaced by minimalism."
syn_0407,School burnout,Sense of inadequacy at school,Diminished confidence in one's academic abilities and lowered self-expectations,lower expectations for one's schoolwork than before,"My parents still talk about college applications, but I've already mentally checked out. I don't expect to get into a good school. I'm aiming for any acceptance, and my schoolwork reflects that—rushed, half-hearted, just meeting the minimum."
syn_0416,School burnout,Sense of inadequacy at school,Diminished confidence in one's academic abilities and lowered self-expectations,lower expectations for one's schoolwork than before,"I've stopped correcting teachers when they praise my potential. Inside, I know I'm not living up to it. My personal expectations for my schoolwork have sunk so low that I barely try, and that's the tragic part."
syn_0411,School burnout,Sense of inadequacy at school,Diminished confidence in one's academic abilities and lowered self-expectations,lower expectations for one's schoolwork than before,"My counselor asked about my post-graduation plans. I said I'm not aiming high anymore. I've lowered my expectations for what I can achieve academically, so I'm looking at local jobs instead of universities."
syn_0439,School burnout,Sense of inadequacy at school,Diminished confidence in one's academic abilities and lowered self-expectations,lower expectations for one's schoolwork than before,"I used to highlight every page. Now I just skim. My expectation is that I won't retain information, so I don't try. I've lowered the bar for engagement, and my grades reflect that surrender."
syn_0417,School burnout,Sense of inadequacy at school,Diminished confidence in one's academic abilities and lowered self-expectations,lower expectations for one's schoolwork than before,I used to have a five-year academic plan. Now I plan month-to-month. I've lowered my expectations for the future because I can't see myself achieving what I once wanted. Schoolwork is just a chore now.
syn_0426,School burnout,Sense of inadequacy at school,Diminished confidence in one's academic abilities and lowered self-expectations,lower expectations for one's schoolwork than before,I no longer aim to understand concepts deeply. Surface-level knowledge is my new goal. I've lowered my expectations for mastery because true understanding feels out of reach. I'm skimming through education.
syn_0435,School burnout,Sense of inadequacy at school,Diminished confidence in one's academic abilities and lowered self-expectations,lower expectations for one's schoolwork than before,"My parents saved for a private college. I'm going to community college. I've lowered my expectations for my education because I don't think I can handle more. My schoolwork goals are now about convenience, not challenge."
syn_0443,School burnout,Sense of inadequacy at school,Diminished confidence in one's academic abilities and lowered self-expectations,lower expectations for one's schoolwork than before,"I don't care about class rankings anymore. In fact, I hope I'm not on the list. My expectations have dropped so low that I want to be invisible academically. Being average is my new goal."
syn_0412,School burnout,Sense of inadequacy at school,Diminished confidence in one's academic abilities and lowered self-expectations,lower expectations for one's schoolwork than before,I used to volunteer for every advanced class. Now I avoid them like the plague. My expectation is to survive regular classes without breaking down. I've set my academic sights so low that I'm barely treading water.
syn_0419,School burnout,Sense of inadequacy at school,Diminished confidence in one's academic abilities and lowered self-expectations,lower expectations for one's schoolwork than before,I don't compare my current self to my past self anymore because it's too painful. I used to be the one with all the answers. Now I'm the one who doesn't raise my hand. My academic expectations have fallen off a cliff.
syn_0410,School burnout,Sense of inadequacy at school,Diminished confidence in one's academic abilities and lowered self-expectations,lower expectations for one's schoolwork than before,"I don't stress about GPA anymore. I've recalibrated what 'good enough' means. Previously, a B was a failure; now I celebrate a C. My expectations have been downgraded so much that average feels like an achievement."
syn_0437,School burnout,Sense of inadequacy at school,Diminished confidence in one's academic abilities and lowered self-expectations,lower expectations for one's schoolwork than before,"I don't buy the 'smart' textbooks anymore. The cheaper, used ones are fine. I've lowered my expectations for my learning materials because I don't expect to absorb much anyway. It's a physical sign of my mental shift."
syn_0415,School burnout,Sense of inadequacy at school,Diminished confidence in one's academic abilities and lowered self-expectations,lower expectations for one's schoolwork than before,"My mom found my old report cards with straight A's. She cried. I told her I've changed—I don't expect those grades now. I'm okay with B's and C's. My academic expectations have been lowered, and I'm not fighting it."
syn_0438,School burnout,Sense of inadequacy at school,Diminished confidence in one's academic abilities and lowered self-expectations,lower expectations for one's schoolwork than before,My dream job used to be 'research scientist.' Now I'm thinking 'barista.' I've lowered my expectations for my future because my current schoolwork isn't building anything. I'm just existing.
syn_0433,School burnout,Sense of inadequacy at school,Diminished confidence in one's academic abilities and lowered self-expectations,lower expectations for one's schoolwork than before,"I no longer care about being on the honor roll. In fact, I'd be embarrassed if I made it. My expectations have shifted from pride to avoidance—I don't want to stand out because I don't think I'm that capable."
syn_0448,School burnout,Sense of inadequacy at school,Diminished confidence in one's academic abilities and lowered self-expectations,lower expectations for one's schoolwork than before,My goal for the science fair is 'participation ribbon.' I used to want 'first place.' That shift from ambitious to apathetic shows how much I've reduced my expectations. I'm not even in the race anymore.
syn_0413,School burnout,Sense of inadequacy at school,Diminished confidence in one's academic abilities and lowered self-expectations,lower expectations for one's schoolwork than before,"When my friend got into Stanford, I felt nothing but relief that I'm not applying. I've already lowered my expectations—I don't want to compete. My schoolwork now is just about getting through, not excelling."
syn_0404,School burnout,Sense of inadequacy at school,Diminished confidence in one's academic abilities and lowered self-expectations,lower expectations for one's schoolwork than before,"I don't compete for grades like I used to. Where I once wanted to be top of the class, I now look at the syllabus and think, 'If I get a D, that's fine.' My standards have fallen, and I'm not even mad about it anymore."
syn_0423,School burnout,Sense of inadequacy at school,Diminished confidence in one's academic abilities and lowered self-expectations,lower expectations for one's schoolwork than before,"When my sister asked what I wanted for my birthday, I said 'a tutor.' She laughed, but I'm serious. I've lowered my expectations so much that I need help just to keep up. I never thought I'd be here."
syn_0400,School burnout,Sense of inadequacy at school,Diminished confidence in one's academic abilities and lowered self-expectations,lower expectations for one's schoolwork than before,"I used to stay up until midnight perfecting every essay, dreaming of academic awards. Now I just want to submit something on time. My goals have shrunk from striving for excellence to simply avoiding failing. It's like I've accepted I'll never be the student I thought I could be."
syn_0429,School burnout,Sense of inadequacy at school,Diminished confidence in one's academic abilities and lowered self-expectations,lower expectations for one's schoolwork than before,I don't join academic clubs anymore. Why would I? I've lowered my expectations for my involvement. I'm not the student who leads; I'm the one who shows up just to say I did.
syn_0434,School burnout,Sense of inadequacy at school,Diminished confidence in one's academic abilities and lowered self-expectations,lower expectations for one's schoolwork than before,"I've started using 'good enough' as my mantra. Where I once revised until perfect, now I stop at adequate. I've lowered my expectations for my own output, and the work suffers, but so do I."
syn_0428,School burnout,Sense of inadequacy at school,Diminished confidence in one's academic abilities and lowered self-expectations,lower expectations for one's schoolwork than before,"I used to get angry on pop quizzes. Now I just shrug and guess. My expectation is to fail, so I don't try. It's a defense mechanism, but it's also how I've adjusted my standards downward."
syn_0406,School burnout,Sense of inadequacy at school,Diminished confidence in one's academic abilities and lowered self-expectations,lower expectations for one's schoolwork than before,"I told my study group I'm not aiming for the extra credit anymore. They were shocked, but I've accepted that my best work isn't good enough. So I've reduced my expectations—no more all-nighters for a perfect paper."
syn_0421,School burnout,Sense of inadequacy at school,Diminished confidence in one's academic abilities and lowered self-expectations,lower expectations for one's schoolwork than before,"My goal used to be 'learn for the sake of learning.' Now it's 'get the credit.' I've reduced my expectations for what schoolwork means to me. It's transactional, not inspirational, and I'm okay with that emptiness."
syn_0432,School burnout,Sense of inadequacy at school,Diminished confidence in one's academic abilities and lowered self-expectations,lower expectations for one's schoolwork than before,"When the scholarship deadline came, I didn't apply. I've already lowered my expectations so much that I don't believe I deserve it. My academic self-worth is in the basement, and I'm not climbing out."
syn_0408,School burnout,Sense of inadequacy at school,Diminished confidence in one's academic abilities and lowered self-expectations,lower expectations for one's schoolwork than before,"I used to rewrite paragraphs until they were flawless. Now I submit first drafts. I've lowered the bar for my own writing because the effort feels pointless. My expectations for quality have plummeted, and honestly, I'm tired of caring."
syn_0449,School burnout,Sense of inadequacy at school,Diminished confidence in one's academic abilities and lowered self-expectations,lower expectations for one's schoolwork than before,"I used to write notes in margins with questions. Now the margins are empty. My expectation is that I won't engage deeply, so I don't. I've lowered my academic interaction to passive consumption, and it's hollow."
syn_0431,School burnout,Sense of inadequacy at school,Diminished confidence in one's academic abilities and lowered self-expectations,lower expectations for one's schoolwork than before,"I used to correct my friends' grammar. Now I don't even proofread my own papers. My expectation is sloppiness, so I deliver it. I've lowered my standards for quality, and it's reflected in everything I turn in."
syn_0409,School burnout,Sense of inadequacy at school,Diminished confidence in one's academic abilities and lowered self-expectations,lower expectations for one's schoolwork than before,"In my journal last year, I wrote about becoming a valedictorian. Today, I wrote that I'd be okay with graduation. That shift—from lofty dreams to basic survival—shows how much I've reduced my academic expectations for myself."
syn_0441,School burnout,Sense of inadequacy at school,Diminished confidence in one's academic abilities and lowered self-expectations,lower expectations for one's schoolwork than before,My teacher wrote 'you can do better' on my paper. I laughed because I know I won't. I've already lowered my expectations so much that 'better' isn't even on my radar. I'm aiming for 'done.'
syn_0442,School burnout,Sense of inadequacy at school,Diminished confidence in one's academic abilities and lowered self-expectations,lower expectations for one's schoolwork than before,"I used to have a study schedule color-coded. Now I open my laptop when I feel like it. My expectation is chaos, so I don't plan. I've lowered my standards for organization, and it's a mess."
syn_0444,School burnout,Sense of inadequacy at school,Diminished confidence in one's academic abilities and lowered self-expectations,lower expectations for one's schoolwork than before,I used to imagine giving TED Talks. Now I can't even speak in discussion sections. I've lowered my expectations for my voice because I believe I have nothing valuable to say. My schoolwork is silent and small.
syn_0424,School burnout,Sense of inadequacy at school,Diminished confidence in one's academic abilities and lowered self-expectations,lower expectations for one's schoolwork than before,"I used to be the first to hand in assignments. Now I'm the last, and I don't care if it's late. My expectation is that my work won't be great, so why rush? I've normalized mediocrity in my school performance."
syn_0445,School burnout,Sense of inadequacy at school,Diminished confidence in one's academic abilities and lowered self-expectations,lower expectations for one's schoolwork than before,"My advice to underclassmen now is 'don't try too hard.' I've lowered my expectations so much that I think effort is wasted. My schoolwork is perfunctory, and I'm passing that mindset on."
syn_0430,School burnout,Sense of inadequacy at school,Diminished confidence in one's academic abilities and lowered self-expectations,lower expectations for one's schoolwork than before,"My goal for this semester is 'no D's.' That's it. A few years ago, I would have been devastated by a B. Now, I've set the bar so low that average is a victory. I've redefined success downward."
syn_0447,School burnout,Sense of inadequacy at school,Diminished confidence in one's academic abilities and lowered self-expectations,lower expectations for one's schoolwork than before,I don't correct my grammar in texts to teachers anymore. 'Ur' instead of 'your' is fine. I've lowered my expectations for professionalism because I don't expect to be taken seriously anyway. My standards have eroded.
syn_0420,School burnout,Sense of inadequacy at school,Diminished confidence in one's academic abilities and lowered self-expectations,lower expectations for one's schoolwork than before,I used to get upset over a 89%. Now I'm relieved with a 70%. That change in what I consider acceptable shows how much I've lowered my standards. I don't expect brilliance from myself anymore—just survival.
syn_0402,School burnout,Sense of inadequacy at school,Diminished confidence in one's academic abilities and lowered self-expectations,lower expectations for one's schoolwork than before,"Looking back at my freshman self, it's depressing. I had a 4.0 goal and a list of Ivy League schools. Now, I'm happy if I pass my classes. My academic ambitions have dropped so low that I don't even recognize that person anymore."
